dwc:occurrenceID,dwc:catalogNumber,dwc:datasetID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day of the year
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135933,p00135933,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus alternifolius,22,8,1905,234
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135920,p00135920,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus chevalieri,21,11,1900,326
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135921,p00135921,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus chevalieri,21,11,1900,326
http://coldb.mnhn.fr/catalognumber/mnhn/p/p05474048,p05474048,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus chevalieri,26,10,1951,299
http://coldb.mnhn.fr/catalognumber/mnhn/p/p05474041,p05474041,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus chevalieri,26,10,1951,299
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135672,p00135672,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus chevalieri,11,10,1943,284
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135738,p00135738,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus macrocalyx,22,12,1908,357
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135989,p00135989,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus macrocalyx,22,5,1988,143
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135988,p00135988,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus macrocalyx,22,5,1988,143
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135722,p00135722,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,17,10,1898,290
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135727,p00135727,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,21,1,1899,21
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135723,p00135723,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,22,9,1903,265
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135729,p00135729,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,22,4,1904,113
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135712,p00135712,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,21,3,1905,80
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135710,p00135710,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,21,4,1905,111
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135715,p00135715,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,19,11,1905,323
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135725,p00135725,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,21,11,1905,325
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135737,p00135737,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,21,12,1908,356
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135709,p00135709,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,21,2,1910,52
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135721,p00135721,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,22,12,1935,356
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135718,p00135718,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,16,4,1937,106
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135983,p00135983,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,28,10,1954,301
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135796,p00135796,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,26,1,1955,26
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135717,p00135717,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,1,1,1909,1
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135794,p00135794,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,3,4,1940,94
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135795,p00135795,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus obovatus,6,1,1945,6
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135724,p00135724,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus plagiopterus,21,9,1903,264
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135730,p00135730,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus plagiopterus,21,4,1904,112
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135714,p00135714,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus plagiopterus,21,3,1905,80
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135713,p00135713,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus plagiopterus,22,3,1905,81
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135711,p00135711,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus plagiopterus,22,4,1905,112
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135716,p00135716,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus plagiopterus,19,11,1905,323
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135726,p00135726,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus plagiopterus,21,11,1905,325
http://coldb.mnhn.fr/catalognumber/mnhn/p/p01059591,p01059591,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus plagiopterus,13,11,2012,318
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135675,p00135675,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus smeathmannii,21,1,1906,21
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135674,p00135674,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus smeathmannii,21,1,1906,21
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135673,p00135673,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus smeathmannii,21,1,1906,21
http://coldb.mnhn.fr/catalognumber/mnhn/p/p01192045,p01192045,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus smeathmannii,24,2,1949,55
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135984,p00135984,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus smeathmannii,21,2,1950,52
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135667,p00135667,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus smeathmannii,2,1,1943,2
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135591,p00135591,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,21,4,1899,111
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135594,p00135594,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,21,9,1903,264
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135592,p00135592,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,21,9,1903,264
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135593,p00135593,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,21,9,1903,264
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135595,p00135595,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,21,9,1903,264
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135596,p00135596,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,22,9,1903,265
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135597,p00135597,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,22,9,1903,265
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135598,p00135598,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,21,3,1909,80
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135601,p00135601,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,21,3,1909,80
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135599,p00135599,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,21,3,1909,80
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135600,p00135600,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,21,3,1909,80
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135588,p00135588,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,22,12,1936,357
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135589,p00135589,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,22,12,1936,357
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135570,p00135570,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,26,12,1948,361
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135602,p00135602,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,19,2,1951,50
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135604,p00135604,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,27,3,1961,86
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135603,p00135603,046bbc50-cae2-47ff-aa43-729fbf53f7c5,,acridocarpus,acridocarpus spectabilis,12,3,1953,71
urn:catalog:mo:tropicos:100566442,100566442,7ddf754f-d193-4cc9-b351-99906754a03b,lerat 74,acroceras,acroceras gabunense,11,5,2012,132
urn:catalog:mo:tropicos:100434025,100434025,7ddf754f-d193-4cc9-b351-99906754a03b,diabaté 1002,acroceras,acroceras zizanioides,10,10,2011,283
http://coldb.mnhn.fr/catalognumber/mnhn/p/p02433567,p02433567,7ddf754f-d193-4cc9-b351-99906754a03b,,acronychia,acronychia emarginata,22,10,2012,296
http://coldb.mnhn.fr/catalognumber/mnhn/p/p02433569,p02433569,7ddf754f-d193-4cc9-b351-99906754a03b,,acronychia,acronychia emarginata,23,10,2012,297
http://coldb.mnhn.fr/catalognumber/mnhn/p/p02275648,p02275648,7ddf754f-d193-4cc9-b351-99906754a03b,,acronychia,acronychia ledermannii,2,11,2012,307
http://coldb.mnhn.fr/catalognumber/mnhn/p/p02433615,p02433615,7ddf754f-d193-4cc9-b351-99906754a03b,,acronychia,acronychia ledermannii,2,11,2012,307
http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0733999,pc0733999,7ddf754f-d193-4cc9-b351-99906754a03b,,acroporium,acroporium,22,5,1981,142
http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0728347,pc0728347,7ddf754f-d193-4cc9-b351-99906754a03b,,acroporium,acroporium,22,5,1981,142
http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0733998,pc0733998,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acroporium,acroporium serricalyx,11,6,1981,162
http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0720749,pc0720749,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acroporium,acroporium sinense,22,9,1907,265
http://coldb.mnhn.fr/catalognumber/mnhn/p/p02147320,p02147320,7ddf754f-d193-4cc9-b351-99906754a03b,,actinorhytis,actinorhytis calapparia,3,6,1930,154
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031821,p031821,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,9,1898,264
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031822,p031822,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,22,9,1898,265
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031823,p031823,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,12,1903,355
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031824,p031824,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,22,12,1903,356
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031826,p031826,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,10,1905,294
http://coldb.mnhn.fr/catalognumber/mnhn/p/p031825,p031825,d9a4eedb-e985-4456-ad46-3df8472e00e8,,adelostigma,adelostigma senegalense,21,10,1905,294
