dwc:recordNumber,dwc:genus,species,dwc:scientificName,Day,Month,Year,Day.of.the.year
kuchar 24812,abrus,abrus precatorius,abrus precatorius subsp. africanus verdc.,9,9,2001,252
kayombo 5041,abrus,abrus precatorius,abrus precatorius subsp. africanus verdc.,29,10,2005,302
luwiika 113,abrus,abrus pulchellus pulchellus,abrus melanospermus subsp. tenuiflorus (spruce ex benth.) d. harder,28,2,1995,59
9327,abrus,abrus schimperi,abrus schimperi baker,16,3,2003,75
826,abrus,abrus schimperi,abrus schimperi baker,24,4,1961,114
kindeketa 1071,abrus,abrus schimperi,abrus schimperi subsp. africanus (vatke) verdc.,13,6,2001,164
kuchar 22652,abrus,abrus schimperi,abrus schimperi subsp. africanus (vatke) verdc.,17,12,1999,351
kindeketa 1218,abutilon,abutilon angulatum,abutilon angulatum (guill. & perr.) mast.,25,6,2001,176
kuchar 23050,abutilon,abutilon lepidum,abutilon mill.,21,2,2000,52
de nevers 3190,acalypha,acalypha,acalypha indica l.,3,4,1984,94
"maesen, ljg van der; maroyi, a  8511",acalypha,acalypha,acalypha  l.,29,12,2010,363
harder 2224,acalypha,acalypha ambigua,acalypha ambigua pax,9,12,1993,343
2224,acalypha,acalypha ambigua,acalypha ambigua,9,12,1993,343
55,acalypha,acalypha brachiata,acalypha villicaulis,29,1,1957,29
ab1216,acalypha,acalypha brachiata,acalypha villicaulis,27,12,1971,361
2418,acalypha,acalypha brachiata,acalypha villicaulis,17,9,1958,260
2417,acalypha,acalypha brachiata,acalypha villicaulis,17,9,1958,260
kuchar 23065,acalypha,acalypha brachiata,acalypha l.,21,2,2000,52
laizer 1255,acalypha,acalypha brachiata,acalypha l.,1,6,2005,152
schmidt 2504,acalypha,acalypha brachiata,acalypha villicaulis a. rich. ex müll. arg.,11,3,1997,70
de nevers 3392,acalypha,acalypha brachiata,acalypha l.,1,5,1984,122
harder 3561,acalypha,acalypha brachiata,acalypha villicaulis a. rich. ex müll. arg.,28,2,1996,59
gereau 6998,acalypha,acalypha brachiata,acalypha villicaulis a. rich. ex müll. arg.,23,1,2008,23
kuchar 22627,acalypha,acalypha brachiata,acalypha l.,17,12,1999,351
24,acalypha,acalypha brachiata,acalypha villicaulis,12,2,1936,43
kuchar 23110,acalypha,acalypha brachiata,acalypha l.,27,2,2000,58
2220,acalypha,acalypha chirindica,acalypha chirindica,11,12,1979,345
kuchar 23066,acalypha,acalypha fimbriata,acalypha fimbriata schumach. & thonn.,21,2,2000,52
,acalypha,acalypha fimbriata,acalypha fimbriata,21,2,2000,52
mboya 259,acalypha,acalypha fruticosa,acalypha fruticosa var. eglandulosa radcl.-sm.,12,6,2001,163
259,acalypha,acalypha fruticosa,acalypha fruticosa var. eglandulosa,12,6,2001,163
de nevers 3190a,acalypha,acalypha lanceolata,acalypha lanceolata willd.,3,4,1984,94
,acalypha,acalypha ornata,acalypha ornata,25,3,1985,84
kuchar 23004,acalypha,acalypha ornata,acalypha ornata hochst. ex a. rich.,21,2,2000,52
kuchar 23118,acalypha,acalypha ornata,acalypha ornata hochst. ex a. rich.,27,2,2000,58
kuchar 25013,acalypha,acalypha ornata,acalypha ornata hochst. ex a. rich.,9,1,2002,9
de nevers 3239,acalypha,acalypha ornata,acalypha ornata hochst. ex a. rich.,11,4,1984,102
laizer 1470,acalypha,acalypha petiolaris,acalypha petiolaris hochst.,16,2,2006,47
gereau 5000,acalypha,acalypha polymorpha,acalypha polymorpha müll. arg.,3,11,1992,308
harder 1198,acalypha,acalypha polymorpha,acalypha stuhlmannii pax,24,10,1992,298
"gereau, re; harder, dk; kayombo, mj; mwangoka, ma  5000",acalypha,acalypha polymorpha,acalypha polymorpha hutch. ex müll.arg.,3,11,1992,308
nkhoma 96,acalypha,acalypha polymorpha,acalypha polymorpha müll. arg.,1,12,1993,335
"harder, dk; gereau, re; kayombo, cj  1198",acalypha,acalypha polymorpha,acalypha stuhlmannii pax,24,10,1992,298
harder 3087,acalypha,acalypha welwitschiana,acalypha welwitschiana müll. arg.,13,5,1994,133
"maesen, ljg van der; maroyi, a  8587",,acanthaceae,acanthaceae,2,1,2011,2
"kayombo, cj; wimbe, e  6952",,acanthaceae,acanthaceae,2,9,2011,245
"maesen, ljg van der; maroyi, a  8589",,acanthaceae,acanthaceae,3,1,2011,3
"maesen, ljg van der; maroyi, a  8488",,acanthaceae,acanthaceae,29,12,2010,363
occurrenceID,issued,accrualPolicy,recordNumber,,educationLevel,,individualCount
occurrenceID,issued,accrualPolicy,recordNumber,,educationLevel,,individualCount
mboya 372,achyranthes,achyranthes conferta,centemopsis conferta suess.,20,6,2001,171
kindeketa 913,achyranthes,achyranthes conferta,centemopsis conferta suess.,25,5,2001,145
mollel 697,achyropsis,achyropsis laniceps,achyropsis laniceps c.b. clarke,15,12,2001,349
gereau 5009,acmella,acmella caulirhiza,acmella caulirhiza delile,3,11,1992,308
schmidt 1247,acmella,acmella caulirhiza,acmella caulirhiza delile,26,11,1993,330
mwangoka 5373,acridocarpus,acridocarpus zanzibaricus,acridocarpus zanzibaricus a. juss.,18,4,2007,108
schmidt 2466,acrotome,acrotome angustifolia,acrotome angustifolia g. tayl.,5,3,1997,64
759,actiniopteris,actiniopteris dimorpha,actiniopteris dimorpha,7,4,1937,97
"pócs, t  88012 /e",actiniopteris,actiniopteris dimorpha,actiniopteris dimorpha pic.serm.,5,2,1988,36
9931,actiniopteris,actiniopteris pauciloba,actiniopteris pauciloba,1,3,1967,60
10198,actiniopteris,actiniopteris radiata,actiniopteris radiata,31,8,1983,243
10203,actiniopteris,actiniopteris radiata,actiniopteris radiata,3,9,1983,246
10198,actiniopteris,actiniopteris radiata,actiniopteris radiata,31,8,1983,243
10203,actiniopteris,actiniopteris radiata,actiniopteris radiata,3,9,1983,246
,actiniopteris,actiniopteris radiata,actiniopteris radiata,26,3,1989,85
gereau 4986,adenia,adenia cissampeloides,adenia gummifera var. cerifera w.j. de wilde,3,11,1992,308
schmidt 1195,adenia,adenia cissampeloides,adenia gummifera var. cerifera w.j. de wilde,14,11,1993,318
luke 10112,adenia,adenia dolichosiphon,adenia dolichosiphon harms,13,12,2003,347
kuchar 22910,adenia,adenia lanceolata,adenia lanceolata engl.,30,1,2000,30
3432 (s),adenodolichos,adenodolichos acutifolius,adenodolichos acutifolius verdc.,23,11,1962,327
3217(b),adenodolichos,adenodolichos baumii,adenodolichos baumii harms,15,5,1969,135
3217(a),adenodolichos,adenodolichos baumii,adenodolichos baumii harms,14,5,1969,134
3340,adenodolichos,adenodolichos exellii,adenodolichos exellii torre f.,14,5,1969,134
3794,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,1,9,1960,245
8648,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,24,5,1964,145
c88,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,15,8,1973,227
3794,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,1,9,1960,245
1973,adenodolichos,adenodolichos kaessneri,adenodolichos kaessneri harms,13,6,1980,165
2985,adenodolichos,adenodolichos punctatus,adenodolichos punctatus (micheli) harms subsp. punctatus verdc.,18,7,1961,199
10100,adenodolichos,adenodolichos punctatus,adenodolichos punctatus (micheli) harms subsp. punctatus verdc.,10,6,1967,161
2031,adenodolichos,adenodolichos punctatus,adenodolichos punctatus (micheli) harms subsp. punctatus verdc.,27,8,1967,239
1658,adenodolichos,adenodolichos punctatus,adenodolichos punctatus harms subsp. bussei (harms) verdc.,,,,
harder 3173,adenodolichos,adenodolichos punctatus,adenodolichos punctatus var. punctatus,17,5,1994,137
3043,adenodolichos,adenodolichos rhomboideus,adenodolichos rhomboideus (o.hoffm.) harms,15,4,1989,105
3043,adenodolichos,adenodolichos rhomboideus,adenodolichos rhomboideus (o.hoffm.) harms,15,4,1989,105
7098,adenodolichos,adenodolichos rhomboideus,adenodolichos rhomboideus (o.hoffm.) harms,22,10,1962,295
"malaisse, f; goetghebeur, p  1067",adenodolichos,adenodolichos rhomboideus,adenodolichos rhomboideus (o.hoffm.) harms,22,5,1985,142
harder 1856,adiantum,adiantum,adiantum capillus-veneris l.,5,11,1993,309
,adiantum,adiantum alarconianum,adiantum ancisum,26,3,1989,85
,adiantum,adiantum alarconianum,adiantum incisum forssk.,,1933-01-30T19:33:00+00:00,,30
3332,adiantum,adiantum caudatum,adiantum caudatum l.,30,1,1923,30
3332,adiantum,adiantum incisum,adiantum incisum hook.,30,1,1933,30
ab2667,adiantum,adiantum philippense philippense,adiantum lunulatum,19,3,1973,78
harder 3255,aeollanthus,aeollanthus engleri,aeollanthus engleri briq.,29,5,1994,149
harder 3168,aeollanthus,aeollanthus engleri,aeollanthus engleri briq.,17,5,1994,137
kibure 879,aeollanthus,aeollanthus holstii,aeollanthus holstii gürke,24,4,2003,114
,aeollanthus,aeollanthus repens,aeollanthus repens,9,4,1985,99
kindeketa 901,aeollanthus,aeollanthus suaveolens,aeollanthus suaveolens mart. ex spreng.,25,5,2001,145
,aeollanthus,aeollanthus subacaulis,aeollanthus subacaulis var. subacaulis,15,3,1985,74
harder 2520,aeollanthus,aeollanthus subacaulis,aeollanthus subacaulis var. subacaulis,29,1,1995,29
gereau 4362,aeollanthus,aeollanthus subacaulis,aeollanthus subacaulis var. linearis (burkill) ryding,19,3,1991,78
"empain, a; robbrecht, e  1920",aeollanthus,aeollanthus subintegrus,aeollanthus subintegrus ryding,9,2,1982,40
laizer 1378,aerva,aerva javanica,aerva forssk.,3,11,2005,307
kuchar 24568,aerva,aerva lanata,aerva lanata (l.) juss. ex schult.,12,5,2001,132
"kayombo, cj; ayubu, j; kibure, oa  6781",aerva,aerva lanata,aerva lanata (l.) juss. ex schult.,10,8,2010,222
2665,aeschynomene,aeschynomene,aeschynomene glauca r.e. fr.,13,9,1968,257
2633,aeschynomene,aeschynomene,aeschynomene glauca r.e. fr.,13,8,1968,226
17547,aeschynomene,aeschynomene,aeschynomene glauca r.e. fr.,2,11,1966,306
2147,aeschynomene,aeschynomene,aeschynomene glauca r.e. fr.,16,9,1972,260
"maesen, ljg van der; maroyi, a  8501",aeschynomene,aeschynomene,aeschynomene  l.,29,12,2010,363
mollel 776,aeschynomene,aeschynomene abyssinica,aeschynomene abyssinica (a. rich.) vatke,23,12,2001,357
"kayombo, cj; ayubu, j; kibure, oa  6813",aeschynomene,aeschynomene abyssinica,aeschynomene abyssinica (a.rich.) vatke,10,8,2010,222
mboya 365,aeschynomene,aeschynomene abyssinica,aeschynomene abyssinica (a. rich.) vatke,19,6,2001,170
mwangoka 5936,aeschynomene,aeschynomene baumii,aeschynomene baumii harms,27,10,2008,301
"kayombo, cj; wimbe, e  6980",aeschynomene,aeschynomene burttii,aeschynomene burttii baker f.,2,9,2011,245
mboya 609,aeschynomene,aeschynomene leptophylla,aeschynomene leptophylla var. leptophylla,5,8,2002,217
harder 1977,aeschynomene,aeschynomene mimosifolia,aeschynomene mimosifolia vatke,19,11,1993,323
"harder, dk; merello, mc; nkhoma, cn; mupeta, m  1977",aeschynomene,aeschynomene mimosifolia,aeschynomene mimosifolia vatke,19,11,1993,323
schmidt 1148,aeschynomene,aeschynomene mimosifolia,aeschynomene mimosifolia vatke,9,11,1993,313
nkhoma 267,aeschynomene,aeschynomene mimosifolia,aeschynomene mimosifolia vatke,24,5,1994,144
mwangoka 3937,aeschynomene,aeschynomene mimosifolia,aeschynomene mimosifolia vatke,7,6,2005,158
3397,aeschynomene,aeschynomene minutiflora,aeschynomene minutiflora taub. subsp. minutiflora verdc.,3,3,1973,62
8263,aeschynomene,aeschynomene minutiflora,aeschynomene minutiflora taub. subsp. minutiflora verdc.,9,2,1964,40
kuchar 24564,aeschynomene,aeschynomene minutiflora,aeschynomene minutiflora taub.,12,5,2001,132
anderson 651,aeschynomene,aeschynomene nematopoda,aeschynomene nematopoda harms,16,3,1950,75
"gereau, re; harder, dk; kayombo, mj; mwangoka, ma  5100",aeschynomene,aeschynomene nyassana,aeschynomene nyassana taub.,22,11,1992,327
harder 1207,aeschynomene,aeschynomene nyassana,aeschynomene nyassana taub.,24,10,1992,298
gereau 3908,aeschynomene,aeschynomene nyassana,aeschynomene nyassana taub.,6,2,1991,37
"harder, dk; gereau, re; kayombo, cj; kayombo, mj  1207",aeschynomene,aeschynomene nyassana,aeschynomene nyassana taub.,24,10,1992,298
gereau 5100,aeschynomene,aeschynomene nyassana,aeschynomene nyassana taub.,22,11,1992,327
8868,aeschynomene,aeschynomene pararubrofarinacea,aeschynomene pararubrofarinacea j. leonard,30,7,1964,212
3439,aeschynomene,aeschynomene pararubrofarinacea,aeschynomene pararubrofarinacea j. leonard,15,5,1969,135
7093,aeschynomene,aeschynomene pseudoglabrescens,aeschynomene pseudoglabrescens verdc.,22,10,1962,295
9420,aeschynomene,aeschynomene pseudoglabrescens,aeschynomene pseudoglabrescens verdc.,16,11,1965,320
s.n.,aeschynomene,aeschynomene pseudoglabrescens,aeschynomene pseudoglabrescens verdc.,2,11,1969,306
818,aeschynomene,aeschynomene pygmaea,aeschynomene pygmaea welw. ex baker var. hebecarpa j. leonard,9,7,1964,191
10092,aeschynomene,aeschynomene pygmaea,aeschynomene pygmaea welw. ex baker var. hebecarpa j. leonard,28,5,1967,148
2651,aeschynomene,aeschynomene pygmaea,aeschynomene pygmaea welw. ex baker var. hebecarpa j. leonard,23,8,1968,236
157,aeschynomene,aeschynomene pygmaea,aeschynomene pygmaea welw. ex baker var. hebecarpa j. leonard,10,6,1974,161
8546,aeschynomene,aeschynomene pygmaea,aeschynomene pygmaea welw. ex baker var. hebecarpa j. leonard,8,5,1964,129
smith 60,aeschynomene,aeschynomene pygmaea hebecarpa,aeschinomene nocca,1,12,1993,335
smith 131,aeschynomene,aeschynomene pygmaea hebecarpa,aeschinomene nocca,26,1,1994,26
"harder, dk; gereau, re; kayombo, cj; kayombo, mj  1221",aeschynomene,aeschynomene rubrofarinacea,aeschynomene rubrofarinacea (taub.) f.white,24,10,1992,298
harder 1221,aeschynomene,aeschynomene rubrofarinacea,aeschynomene rubrofarinacea (taub.) f. white,24,10,1992,298
mboya 253,aeschynomene,aeschynomene schimperi,aeschynomene schimperi hochst. ex a. rich.,12,6,2001,163
11986,aeschynomene,aeschynomene schliebenii,aeschynomene schliebenii harms var. mossambicensis (baker f.) verdc.,24,5,1973,144
1655,aeschynomene,aeschynomene schliebenii,aeschynomene schliebenii harms var. mossambicensis (baker f.) verdc.,11,3,2009,70
11574,aeschynomene,aeschynomene schliebenii,aeschynomene schliebenii harms var. mossambicensis (baker f.) verdc.,27,10,1972,301
9261,aeschynomene,aeschynomene schliebenii,aeschynomene schliebenii harms var. mossambicensis (baker f.) verdc.,17,8,1965,229
2660,aeschynomene,aeschynomene tenuirama,aeschynomene tenuirama welw. ex baker var. tenuirama verdc.,13,9,1968,257
10065,aeschynomene,aeschynomene tenuirama,aeschynomene tenuirama welw. ex baker var. tenuirama verdc.,15,5,1967,135
2014,aeschynomene,aeschynomene tenuirama,aeschynomene tenuirama welw. ex baker var. tenuirama verdc.,18,8,1967,230
12152,aeschynomene,aeschynomene tenuirama,aeschynomene tenuirama welw. ex baker var. tenuirama verdc.,25,1,1974,25
kuchar 23115,aeschynomene,aeschynomene trigonocarpa,aeschynomene trigonocarpa taub. ex baker f.,27,2,2000,58
kuchar 22815,aeschynomene,aeschynomene trigonocarpa,aeschynomene trigonocarpa taub. ex baker f.,27,1,2000,27
kibure 973,aeschynomene,aeschynomene trigonocarpa,aeschynomene trigonocarpa taub. ex baker f.,13,5,2003,133
luke 8394,aeschynomene,aeschynomene trigonocarpa,aeschynomene trigonocarpa taub. ex baker f.,25,5,2002,145
harder 3994,aeschynomene,aeschynomene trigonocarpa,aeschynomene trigonocarpa taub. ex baker f.,9,3,1997,68
,afrocanthium,afrocanthium burttii,afrocanthium burttii,27,1,2000,27
,afrocanthium,afrocanthium burttii,afrocanthium burttii,27,2,2000,58
,afrocanthium,afrocanthium burttii,afrocanthium burttii,21,2,2000,52
,afrocanthium,afrocanthium burttii,afrocanthium burttii,21,2,2000,52
kindeketa 1021,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,12,6,2001,163
kindeketa 973,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,11,6,2001,162
kibure 880,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,24,4,2003,114
kuchar 22663,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,17,12,1999,351
kuchar 22890,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,29,1,2000,29
mollel 665,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,15,12,2001,349
kuchar 23113,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,27,2,2000,58
kuchar 23019,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,21,2,2000,52
kuchar 23018,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,21,2,2000,52
mollel 657,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,15,12,2001,349
kindeketa 1389,afrocanthium,afrocanthium burttii,afrocanthium burttii (bullock) lantz,8,12,2001,342
kuchar 23003,afrocanthium,afrocanthium lactescens,afrocanthium lactescens (hiern) lantz,21,2,2000,52
mboya 412,afrocanthium,afrocanthium lactescens,afrocanthium lactescens (hiern) lantz,29,6,2001,180
mboya 264,afrocanthium,afrocanthium lactescens,afrocanthium lactescens (hiern) lantz,12,6,2001,163
kayombo 5055,afrocanthium,afrocanthium rondoense,afrocanthium rondoense (bridson) lantz,29,10,2005,302
kindeketa 986,afzelia,afzelia quanzensis,afzelia quanzensis welw.,11,6,2001,162
kuchar 24815,afzelia,afzelia quanzensis,afzelia quanzensis welw.,9,9,2001,252
mollel 591,afzelia,afzelia quanzensis,afzelia quanzensis welw.,13,6,2001,164
kayombo 4616,afzelia,afzelia quanzensis,afzelia quanzensis welw.,9,11,2003,313
gereau 1502,agathisanthemum,agathisanthemum bojeri,agathisanthemum bojeri var. bojeri,17,12,1984,352
,agathisanthemum,agathisanthemum globosum,agathisanthemum globosum,24,5,1987,144
bingham 9979,agathisanthemum,agathisanthemum globosum,agathisanthemum klotzsch,4,2,1994,35
harder 3930,agathisanthemum,agathisanthemum globosum,agathisanthemum globosum (hochst. ex a. rich.) bremek.,2,3,1997,61
"empain, a; malaisse, f; robbrecht, e  1842",agathisanthemum,agathisanthemum globosum,agathisanthemum globosum (hochst. ex a.rich.) bremek.,6,2,1982,37
gereau 4376,agathisanthemum,agathisanthemum globosum,agathisanthemum quadricostatum bremek.,19,3,1991,78
zimba 1053,agathisanthemum,agathisanthemum globosum,agathisanthemum globosum (hochst. ex a. rich.) bremek.,8,3,1997,67
,agelanthus,agelanthus fuellebornii,agelanthus fuellebornii,28,12,1997,362
gereau 6084,agelanthus,agelanthus fuellebornii,agelanthus fuellebornii (engl.) polhill & wiens,28,12,1997,362
"malaisse, f; robbrecht, e; empain, a  91",agelanthus,agelanthus glomeratus,agelanthus glomeratus (engl.) polhill & wiens,8,2,1982,39
gereau 1512,agelanthus,agelanthus heteromorphus,agelanthus scassellatii (chiov.) polhill & wiens,17,12,1984,352
de nevers 3213,agelanthus,agelanthus heteromorphus,agelanthus scassellatii (chiov.) polhill & wiens,3,4,1984,94
laizer 1349,agelanthus,agelanthus kayseri,agelanthus kayseri (engl.) polhill & wiens,3,11,2005,307
harris 60,agelanthus,agelanthus longipes,agelanthus longipes (baker & sprague) polhill & wiens,1,12,1988,336
gereau 7039,agelanthus,agelanthus nyasicus,agelanthus nyasicus (baker & sprague) polhill & wiens,27,1,2008,27
schmidt 1248,agelanthus,agelanthus nyasicus,agelanthus nyasicus (baker & sprague) polhill & wiens,26,11,1993,330
schmidt 1249,agelanthus,agelanthus pungu,agelanthus pungu (de wild.) polhill & wiens,26,11,1993,330
mwangoka 6270,agelanthus,agelanthus subulatus,agelanthus subulatus (engl.) polhill & wiens,4,7,2009,185
luwiika 108,agelanthus,agelanthus zizyphifolius,agelanthus zizyphifolius subsp. vittatus (engl.) polhill & wiens,28,2,1995,59
"malaisse, f; robbrecht, e  1825",agelanthus,agelanthus zizyphifolius,agelanthus zizyphifolius (engl.) polhill & wiens subsp. vittatus (engl.) polhill & wiens,8,2,1982,39
,ageratinastrum,ageratinastrum polyphyllum,ageratinastrum polyphyllum,23,5,1987,143
de nevers 3387,ageratum,ageratum,ageratum l.,1,5,1984,122
laizer 1387,ageratum,ageratum conyzoides,ageratum conyzoides l.,3,11,2005,307
harder 3999,alafia,alafia zambesiaca,alafia zambesiaca kupicha,9,3,1997,68
harder 2135,alafia,alafia zambesiaca,alafia zambesiaca kupicha,25,11,1993,329
4922,albizia,albizia adianthifolia,albizia adianthifolia (schumach.) w. wight,30,11,2006,334
5003,albizia,albizia adianthifolia,albizia adianthifolia (schum.) w.wight,3,11,1992,308
gereau 5003,albizia,albizia adianthifolia,albizia adianthifolia (schumach.) w. wight,3,11,1992,308
mollel 730,albizia,albizia anthelmintica,albizia anthelmintica brongn.,16,12,2001,350
lovett 460,albizia,albizia antunesiana,albizia antunesiana harms,17,6,1991,168
kibure 877,albizia,albizia antunesiana,albizia antunesiana harms,24,4,2003,114
kuchar 24943,albizia,albizia antunesiana,albizia antunesiana harms,3,11,2001,307
mboya 376,albizia,albizia antunesiana,albizia antunesiana harms,20,6,2001,171
mwangoka 7503,albizia,albizia antunesiana,albizia antunesiana harms,31,10,2011,304
mwangoka 3112,albizia,albizia glaberrima,albizia glaberrima var. glabrescens (oliv.) brenan,29,7,2004,211
ab no. 696,albizia,albizia harveyi,albizia harveyi,23,11,1970,327
kuchar 22636,albizia,albizia petersiana,albizia petersiana subsp. petersiana,17,12,1999,351
kindeketa 1092,albizia,albizia petersiana,albizia petersiana subsp. petersiana,13,6,2001,164
ab 695,albizia,albizia petersiana,albizia petersiana,23,11,1970,327
5615,albizia,albizia petersiana,albizia petersiana,,,,
kayombo 5043,albizia,albizia versicolor,albizia versicolor welw. ex oliv.,29,10,2005,302
"bulaimu, j  357",albizia,albizia versicolor,albizia versicolor welw. ex oliv.,10,6,1971,161
abeid 353,albizia,albizia versicolor,albizia versicolor welw. ex oliv.,31,10,1998,304
,albuca,albuca abyssinica,albuca abyssinica,10,4,1989,100
kindeketa 1171,albuca,albuca abyssinica,albuca abyssinica jacq.,20,6,2001,171
383,albuca,albuca abyssinica,albuca abyssinica,26,12,1971,360
laizer 1383,alchornea,alchornea laxiflora,alchornea laxiflora (benth.) pax & k. hoffm.,3,11,2005,307
kayombo 5034,alchornea,alchornea laxiflora,alchornea laxiflora (benth.) pax & k. hoffm.,29,10,2005,302
harder 1373,alchornea,alchornea laxiflora,alchornea laxiflora (benth.) pax & k. hoffm.,2,11,1992,307
"harder, dk  1373",alchornea,alchornea laxiflora,alchornea laxiflora (benth.) pax & k.hoffm.,2,11,1992,307
mollel 629,alectra,alectra orobanchoides,alectra orobanchoides benth.,13,6,2001,164
harder 3931,alectra,alectra orobanchoides,alectra orobanchoides benth.,2,3,1997,61
harder 3991,alectra,alectra parasitica,alectra parasitica hochst. ex a. rich.,9,3,1997,68
schmidt 2441,alectra,alectra parasitica,alectra parasitica hochst. ex a. rich.,5,3,1997,64
harder 3196,alectra,alectra sessiliflora,alectra sessiliflora (vahl) kuntze,17,5,1994,137
mollel 607,allophylus,allophylus africanus,allophylus africanus var. griseotomentosus (gilg) verdc.,13,6,2001,164
gereau 4997,allophylus,allophylus africanus,allophylus africanus var. griseotomentosus (gilg) verdc.,3,11,1992,308
kuchar 22413,allophylus,allophylus africanus,allophylus africanus var. africanus,21,8,1999,233
gereau 4388,allophylus,allophylus congolanus,allophylus congolanus gilg,19,3,1991,78
mboya 419,allophylus,allophylus ferrugineus,allophylus ferrugineus var. ferrugineus,3,7,2001,184
kuchar 23652,allophylus,allophylus fulvotomentosus,allophylus fulvotomentosus gilg,30,4,2000,121
nkhoma 266,allophylus,allophylus fulvotomentosus,allophylus fulvotomentosus gilg,24,5,1994,144
,allophylus,allophylus rubifolius,allophylus rubifolius,26,3,1989,85
zimba 1078,allophylus,allophylus rubifolius,allophylus rubifolius var. rubifolius,8,3,1997,67
kuchar 25160,allophylus,allophylus rubifolius,allophylus rubifolius var. rubifolius,3,3,2002,62
mwangoka 4270,allophylus,allophylus zeylanicus,allophylus l.,24,8,2005,236
abeid 2191,allophylus,allophylus zeylanicus,allophylus l.,22,8,2005,234
mboya 294,allophylus,allophylus zeylanicus,allophylus l.,12,6,2001,163
kayombo 5046,allophylus,allophylus zeylanicus,allophylus l.,29,10,2005,302
kuchar 24325,alloteropsis,alloteropsis cimicina,alloteropsis cimicina (l.) stapf,7,4,2001,97
kuchar 23068,alloteropsis,alloteropsis paniculata,alloteropsis j. presl,21,2,2000,52
88032/s,alloteropsis,alloteropsis semialata,alloteropsis semialata,14,3,1988,74
5323,aloe,aloe chabaudii,aloe chabaudii schönland var. chabaudii,2,6,2008,154
luke 11171,aloe,aloe christianii,aloe christianii reynolds,8,6,2005,159
83/21,aloe,aloe cryptopoda,aloe cryptopoda baker,31,8,1983,243
8938,aloe,aloe fimbrialis,aloe fimbrialis s.carter,24,9,1964,268
kuchar 22444a,aloe,aloe secundiflora,aloe secundiflora var. sobolifera s. carter,5,9,1999,248
"kayombo, cj; ayubu, j; kibure, oa  6868",aloe,aloe secundiflora,aloe secundiflora engl.,11,8,2010,223
kuchar 22483,aloe,aloe secundiflora,aloe secundiflora var. sobolifera s. carter,23,9,1999,266
beeson 398,alsodeiopsis,alsodeiopsis schumannii,alsodeiopsis schumannii (engl.) engl.,1,3,1981,60
laizer 1382,alternanthera,alternanthera sessilis,alternanthera sessilis (l.) r. br. ex dc.,3,11,2005,307
mwangoka 3943,alysicarpus,alysicarpus heterophyllus,alysicarpus neck. ex desv.,7,6,2005,158
de nevers 3206,alysicarpus,alysicarpus rugosus,alysicarpus rugosus subsp. rugosus,3,4,1984,94
harder 1362,alysicarpus,alysicarpus zeyheri,alysicarpus zeyheri harv.,2,11,1992,307
"harder, dk  1362",alysicarpus,alysicarpus zeyheri,alysicarpus zeyheri harv.,2,11,1992,307
harder 1876,amblygonocarpus,amblygonocarpus andongensis,amblygonocarpus andongensis (welw. ex oliv.) exell & torre,6,11,1993,310
kayombo 5023,amblygonocarpus,amblygonocarpus andongensis,amblygonocarpus andongensis (welw. ex oliv.) exell & torre,29,10,2005,302
ezrom 209,amblygonocarpus,amblygonocarpus andongensis,amblygonocarpus andongensis (welw. ex oliv.) exell & torre,15,11,2005,319
"bulaimu, j  359",amblygonocarpus,amblygonocarpus andongensis,amblygonocarpus andongensis (welw. ex oliv.) exell & torre,28,10,1971,301
kindeketa 912,ammannia,ammannia auriculata,ammannia auriculata willd.,25,5,2001,145
mboya 283,ammannia,ammannia auriculata,ammannia auriculata willd.,12,6,2001,163
kindeketa 914,ammannia,ammannia baccifera,ammannia baccifera l.,25,5,2001,145
590,ammocharis,ammocharis tinneana,ammocharis tinneana,30,12,1971,364
kuchar 25018,amorphophallus,amorphophallus abyssinicus,amorphophallus abyssinicus (a. rich.) n.e. br.,9,1,2002,9
harder 2145,amorphophallus,amorphophallus abyssinicus,amorphophallus abyssinicus (a. rich.) n.e. br.,25,11,1993,329
smith 343,ampelocissus,ampelocissus africana,ampelocissus africana (lour.) merr.,9,3,1994,68
schmidt 1239,ampelocissus,ampelocissus africana,ampelocissus africana (lour.) merr.,26,11,1993,330
mwangoka 7324,ampelocissus,ampelocissus filipes,ampelocissus planch.,12,2,2011,43
laizer 1494,ampelocissus,ampelocissus filipes,ampelocissus planch.,16,2,2006,47
