gbif:canonicalName,FAMILY,dwc:genus,species,dwc:specificEpithet,Day,Month,Year,Day of the year
abrus precatorius, Fabaceae,abrus,abrus precatorius l.,precatorius,17,5,1999,137
abrus precatorius, Fabaceae,abrus,abrus precatorius l.,precatorius,17,5,1999,137
abutilon theophrasti,Malvaceae,abutilon,abutilon avicennae,theophrasti,20,8,1992,233
abutilon indicum,Malvaceae,abutilon,abutilon indicum,indicum,15,8,1992,228
acacia smithiana,Fabaceae,acacia,acacia smithiana roxb.,smithiana,,,,
acalypha,Euphorbiaceae,acalypha,acalypha indica,indica,12,7,1992,214
acalypha,Euphorbiaceae,acalypha,acalypha indica,indica,1,8,1992,168
acalypha,Euphorbiaceae,acalypha,acalypha indica l.,indica,16,6,2000,194
acampe cephalotes,Orchidaceae,acampe,acampe cephalotes lindl.,cephalotes,19,11,1847,323
acampe ochracea,Orchidaceae,acampe,acampe ochraceum,ochracea,16,12,1944,351
acampe praemorsa,Orchidaceae,acampe,acampe papillosa,praemorsa,16,12,1944,351
acanthaceae,,,acanthaceae,,8,6,2000,160
acanthopanax trifoliatum,Araliaceae,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,29,9,1850,272
acanthopanax trifoliatum,Araliaceae,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,8,11,1850,
acanthopanax trifoliatum,Araliaceae,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,312
acanthopanax trifoliatum,Araliaceae,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,
acanthopanax trifoliatum,Araliaceae,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,
acanthus ilicifolius,,acanthus,acanthus ilicifolius l.,ilicifolius,1,6,2000,153
acanthus leucostachyus,,acanthus,acanthus leucostachyus wall.,leucostachyus,,,,
acanthus leucostachyus,,acanthus,acanthus leucostachyus wall.,leucostachyus,,,,
acer oblongum,,acer,acer oblongum wall.,oblongum,,,,
achyranthes aspera,,achyranthes,achyranthes aspera,aspera,10,7,1992,192
achyranthes aspera,,achyranthes,achyranthes aspera,aspera,12,4,1868,103
achyranthes aspera,,achyranthes,achyranthes aspera,aspera,23,10,1868,297
achyrospermum wallichianum,,achyrospermum,achyrospermum wallichianum (benth.) benth. ex hook.f.,wallichianum,,,,
,,acorus,acorus calamus l.,calamus,13,6,1979,
acranthera tomentosa,,acranthera,acranthera tomentosa r.br. ex hook.f.,tomentosa,,,,
acronychia,,acronychia,acronychia  j.r.forst.,,10,10,1979,283
acronychia,,acronychia,acronychia  j.r.forst.,,19,11,1979,323
acronychia pedunculata,,acronychia,acronychia pedunculata,pedunculata,6,8,1992,219
acronychia pedunculata,,acronychia,acronychia pedunculata (l.) miq.,pedunculata,,,,
acrostichum aureum,,acrostichum,acrostichum aureum l.,aureum,1,6,2000,153
acrostichum aureum,,acrostichum,acrostichum aureum l.,aureum,1,6,2000,
acrostichum aureum,,acrostichum,acrostichum aureum l.,aureum,,,,153
,,acrostichum,acrostichum flagelliferum,flagelliferum,10,6,1869,
actinoscirpus grossus,,actinoscirpus,actinoscirpus grossus var. kysoor,grossus,29,12,1875,363
actinostemma tenerum,,actinostemma,actinostemma tenerum griff.,tenerum,,,,
actinostemma tenerum,,actinostemma,actinostemma tenerum griff.,tenerum,,,,
actinostemma tenerum,,actinostemma,actinostemma tenerum griffith,tenerum,,,,
adenia cardiophylla,,adenia,adenia cardiophylla engl.,cardiophylla,,,,
mycetia longifolia,,mycetia,adenosacme longifolia wall.,longifolia,,,,
adenostemma elatum,,adenostemma,adenostemma elatum dc.,elatum,,,,
,,adenostemma,adenostemma lavenia var. lavenia,lavenia,22,11,1944,15
,,adhatoda,adhatoda vasica nees,vasica,25,5,1999,
,,adina,adina cordifolia,cordifolia,18,7,1992,200
neonauclea sessilifolia,,neonauclea,adina sessilifolia,sessilifolia,30,12,1944,365
adinandra griffithii,,adinandra,adinandra griffithii dyer.,griffithii,,,,
aegialitis rotundifolia,,aegialitis,aegialitis rotundifolia roxb.,rotundifolia,31,5,2000,152
aegiceras corniculatum,,aegiceras,aegiceras corniculatum (l.) blanco,corniculatum,1,6,2000,153
aeginetia pedunculata,,aeginetia,aeginetia abbreviata buch.-ham. ex benth.,pedunculata,,,,
aeginetia indica,,aeginetia,aeginetia indica,indica,15,8,1992,
aeginetia indica,,aeginetia,aeginetia indica,indica,18,8,1992,228
aeginetia indica,,aeginetia,aeginetia indica roxb.,indica,,,,231
aegle marmelos,,aegle,aegle marmelos (l.) correa,marmelos,,,,
aerva sanguinolenta,,aerva,aerva sanguinolenta,sanguinolenta,18,5,1867,
aerva sanguinolenta,,aerva,aerva scandens wall.,sanguinolenta,,,,138
aeschynanthus acuminatus,Gesneriaceae,aeschynanthus,aeschynanthus acuminatus wall. ex a.dc.,acuminatus,,,,
aeschynanthus bracteatus,Gesneriaceae,aeschynanthus,aeschynanthus bracteactus wall.,bracteatus,,,,
aeschynanthus bracteatus,Gesneriaceae,aeschynanthus,aeschynanthus bracteactus wall.,bracteatus,,,,
aeschynanthus bracteatus,Gesneriaceae,aeschynanthus,aeschynanthus bracteatus wall.,bracteatus,,,,
aeschynanthus bracteatus,Gesneriaceae,aeschynanthus,aeschynanthus bracteatus wall. ex a. dc.,bracteatus,,,,
aeschynanthus bracteatus,Gesneriaceae,aeschynanthus,aeschynanthus bracteatus wall. ex a.dc.,bracteatus,9,8,1824,222
aeschynanthus longiflorus,Gesneriaceae,aeschynanthus,aeschynanthus longiflorus wall.,longiflorus,,,,
aeschynanthus longiflorus,Gesneriaceae,aeschynanthus,aeschynanthus longiflorus wall.,longiflorus,,,,
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,6,8,1992,
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,,,,
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,,,,
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,,,,219
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,,,,
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,,,,
aeschynanthus parviflorus,Gesneriaceae,aeschynanthus,aeschynanthus parviflorus (d. don.) spreng.,parviflorus,,,,
aeschynanthus parviflorus,Gesneriaceae,aeschynanthus,aeschynanthus parviflorus (d.don) spreng.,parviflorus,,,,
aeschynanthus superbus,Gesneriaceae,aeschynanthus,aeschynanthus superbus c.b.clarke,superbus,,,,
aeschynanthus superbus,Gesneriaceae,aeschynanthus,aeschynanthus superbus c.b.clarke,superbus,,,,
aeschynomene aspera,Gesneriaceae,aeschynomene,aeschynomene aspera,aspera,12,9,1944,
aeschynomene aspera,Gesneriaceae,aeschynomene,aeschynomene aspera l.,aspera,,,,
aeschynomene aspera,Gesneriaceae,aeschynomene,aeschynomene aspera l.,aspera,,,,256
aeschynomene indica,Gesneriaceae,aeschynomene,aeschynomene indica l.,indica,,,,
aesculus assamica,,aesculus,aesculus punduana wall.,assamica,,,,
aesculus assamica,,aesculus,aesculus punduana wall.,assamica,,,,
,,aetheilema,aetheilema reniforme,reniforme,,,,214
aganope heptaphylla,,aganope,aganope heptaphylla,heptaphylla,,,,
aganosma cymosa,,aganosma,aganosma cymosa (roxb.) g.don var. cymosa,cymosa,,,,
,,aganosma,aganosma marginata (roxb.) g.don,marginata,18,5,1999,144
agapetes acuminata,,agapetes,agapetes acuminata d.don ex g.don,acuminata,,,,
sesbania grandiflora,,sesbania,agati grandiflora desv.,grandiflora,,,,
sesbania grandiflora,,sesbania,agati grandiflora desv.,grandiflora,,,,
ageratum conyzoides,,ageratum,ageratum conyzoides,conyzoides,30,12,1944,219
ageratum conyzoides,,ageratum,ageratum conyzoides,conyzoides,10,7,1992,192
ageratum conyzoides,,ageratum,ageratum conyzoides,conyzoides,12,7,1992,194
ageratum conyzoides,,ageratum,ageratum conyzoides,conyzoides,6,8,1992,91
ageratum conyzoides,,ageratum,ageratum conyzoides l.,conyzoides,1,4,1997,365
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,25,4,1997,
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,115
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,
aglaia elaeagnoidea,,aglaia,aglaia elaeagnoidea (a.juss.) benth.,elaeagnoidea,,,,
aglaia elaeagnoidea,,aglaia,aglaia elaeagnoidea (a.juss.) benth.,elaeagnoidea,,,,
aglaia lawii lawii,,aglaia,aglaia lawii (wight) c.j.saldanha,lawii,1,6,2000,153
aglaonema hookerianum,,aglaonema,aglaonema hookerianum,hookerianum,3,4,1945,155
aglaonema hookerianum,,aglaonema,aglaonema hookerianum,hookerianum,16,6,1994,
aglaonema hookerianum,,aglaonema,aglaonema hookerianum,hookerianum,4,6,1999,10
aglaonema hookerianum,,aglaonema,aglaonema hookerianum,hookerianum,4,6,1999,155
aglaonema hookerianum,,aglaonema,aglaonema hookerianum,hookerianum,5,6,1999,167
aglaonema hookerianum,,aglaonema,aglaonema hookerianum,hookerianum,10,1,1869,93
aglaonema hookerianum,,aglaonema,aglaonema hookerianum,hookerianum,,,,156
agrostis pleiophylla,,agrostis,agrostis pleiophylla mez.,pleiophylla,12,9,1886,255
aidia densiflora,,aidia,aidia densiflora,densiflora,8,4,1949,98
ajuga macrosperma,,ajuga,ajuga macrosperma wall.,macrosperma,,,,
alangium chinense,,alangium,alangium chinense (lour.) harms,chinense,9,5,1997,129
alangium chinense,,alangium,alangium chinense (lour.) harms,chinense,27,5,1999,147
alangium salviifolium,,alangium,alangium salviifolium (l.f.) wangerin,salviifolium,11,5,1997,131
,,albizia,albizia amara (roxb.) boivin,amara,,,,199
,,albizia,albizia chinensis (osbeck) merr.,chinensis,4,6,1999,200
,,albizia,albizia chinensis (osbeck) merr.,chinensis,,,,168
,,albizia,albizia marginata,marginata,9,8,1887,
albizia myriophylla,,albizia,albizia myriophylla benth.,myriophylla,,,,
albizia myriophylla,,albizia,albizia myriophylla benth.,myriophylla,,,,
albizia odoratissima,,albizia,albizia odoratissima (l.f.) benth.,odoratissima,6,5,1994,126
,,albizia,albizia procera,procera,5,9,1944,
,,albizia,albizia procera,procera,5,1,1945,221
,,albizia,albizia procera (roxb.) benth.,procera,,,,110
alchornea tiliifolia,,alchornea,alchornea tiliifolia (benth.) müll.arg.,tiliifolia,,,,
aletris,,aletris,aletris,,,,,
aletris pauciflora khasiana,,aletris,aletris khasiana hook.f.,pauciflora,10,2,1914,
aletris pauciflora khasiana,,aletris,aletris khasiana hook.f.,pauciflora,,,,41
allophylus cobbe,,allophylus,allophylus cobbe,cobbe,6,8,1992,301
allophylus cobbe,,allophylus,allophylus cobbe,cobbe,15,8,1992,289
allophylus cobbe,,allophylus,allophylus cobbe,cobbe,8,8,1876,267
allophylus cobbe,,allophylus,allophylus cobbe,cobbe,24,9,1977,219
allophylus cobbe,,allophylus,allophylus cobbe,cobbe,15,10,1978,221
allophylus cobbe,,allophylus,allophylus cobbe,cobbe,16,10,1978,288
allophylus cobbe,,allophylus,allophylus cobbe,cobbe,28,10,1978,228
allophylus cobbe,,allophylus,allophylus cobbe,cobbe,30,10,1978,303
allophylus subfalcatus distachyus,,allophylus,allophylus distachys radlk.,subfalcatus,,,,
allophylus subfalcatus,,allophylus,allophylus subfalcatus radlk.,subfalcatus,9,7,1852,191
allophylus villosus,,allophylus,allophylus villosus (roxb.) blume,villosus,,,,
alocasia acuminata,,alocasia,alocasia acuminata,acuminata,4,6,1999,155
alocasia acuminata,,alocasia,alocasia acuminata schott,acuminata,4,6,1999,
alocasia acuminata,,alocasia,alocasia acuminata schott,acuminata,,,,155
alocasia odora,,alocasia,alocasia commutata schott,odora,,,,
alocasia cucullata,,alocasia,alocasia cucullata schott,cucullata,13,1,1979,
alpinia conchigera,,alpinia,alpinia conchigera griff.,conchigera,,,,
,,alpinia,alpinia galanga (l.) willd.,galanga,27,5,1999,144
alpinia malaccensis,,alpinia,alpinia malaccensis (burm.f.) roscoe,malaccensis,21,4,1994,111
alpinia malaccensis,,alpinia,alpinia malaccensis (burm.f.) roscoe,malaccensis,14,6,2000,166
alseodaphne semecarpifolia rufa,,alseodaphne,alseodaphne khasyana (meisn.) kosterm.,semecarpifolia,,,,
alsophila gigantea,,alsophila,alsophila gigantea wall. ex hook.,gigantea,,,,
alsophila gigantea,,alsophila,alsophila gigantea wall. ex hook.,gigantea,,,,
,,alsophila,alsophila glauca (blume) j. sm.,glauca,,,,68
,,alsophila,alsophila glauca (blume) j. sm.,glauca,,,,249
,,alsophila,alsophila glauca (sw.) hieron.,glauca,2,6,2000,145
alstonia scholaris,,alstonia,alstonia scholaris,scholaris,24,5,1967,
alstonia scholaris,,alstonia,alstonia scholaris,scholaris,19,7,1967,
alstonia scholaris,,alstonia,alstonia scholaris,scholaris,,,,156
alstonia scholaris,,alstonia,alstonia scholaris,scholaris,,,,144
alstonia scholaris,,alstonia,alstonia scholaris,scholaris,5,6,1999,
alstonia scholaris,,alstonia,alstonia scholaris,scholaris,,,,
alstonia scholaris,,alstonia,alstonia scholaris,scholaris,,,,200
alternanthera paronychioides,,alternanthera,alternanthera paronychioides a.st.-hil.,paronychioides,16,5,1999,136
alternanthera sessilis,,alternanthera,alternanthera sessilis,sessilis,20,7,1943,194
alternanthera sessilis,,alternanthera,alternanthera sessilis,sessilis,27,12,1944,201
alternanthera sessilis,,alternanthera,alternanthera sessilis,sessilis,12,7,1992,362
alysicarpus bupleurifolius,,alysicarpus,alysicarpus bupleurifolius (l.) dc.,bupleurifolius,,,,
alyxia fascicularis,,alyxia,alyxia fascicularis (wall. ex g.don) benth. & hook.f.,fascicularis,,,,
amaranthus tricolor,,amaranthus,amaranthus amboinicus buch.-ham.,tricolor,,,,
amaranthus tricolor,,amaranthus,amaranthus amboinicus buch.-ham.,tricolor,,,,
amaranthus tricolor,,amaranthus,amaranthus gangeticus l.,tricolor,30,9,1902,
amaranthus,,amaranthus,amaranthus spinosus,spinosus,14,8,1992,
amaranthus,,amaranthus,amaranthus spinosus l.,spinosus,,,,227
amaranthus tricolor,,amaranthus,amaranthus tricolor l.,tricolor,,,,
amaranthus tricolor,,amaranthus,amaranthus tristis wall.,tricolor,,,,
amaranthus tricolor,,amaranthus,amaranthus tristis wall.,tricolor,,,,273
amaranthus viridis,,amaranthus,amaranthus viridis,viridis,15,9,1943,200
amaranthus viridis,,amaranthus,amaranthus viridis,viridis,18,7,1992,258
amblyanthus glandulosus,,amblyanthus,amblyanthus glandulosus (roxb.) a. dc.,glandulosus,,,,
amblyanthus multiflorus,,amblyanthus,amblyanthus multiflorus mez,multiflorus,,,,
amischotolype hookeri,,amischotolype,amischotolype hookeri (hassk.) h.hara,hookeri,8,6,2000,160
ammannia baccifera,,ammannia,ammannia baccifera l.,baccifera,,,,
ammannia baccifera,,ammannia,ammannia baccifera l.,baccifera,,,,
ammannia rotundifolia,,ammannia,ammannia rotundifolia buch.-ham.,rotundifolia,,,,
amomum,,amomum,amomum,,5,5,1994,155
amomum,,amomum,amomum,,3,6,2000,125
amorphophallus napalensis,,amorphophallus,amorphophallus napalensis (wallich) bogner & mayo,napalensis,,,,
ampelocissus,,ampelocissus,ampelocissus  planch.,,12,6,1999,163
ampelocissus,,ampelocissus,ampelocissus  planch.,,15,6,2000,167
ampelocissus rugosa,,ampelocissus,ampelocissus rugosa (wall.) planch.,rugosa,,,,
ampelopsis rubifolia,,ampelopsis,ampelopsis rubifolia (wall.) planch.,rubifolia,,,,
amphineurion marginatum,,amphineurion,amphineurion marginatum (roxb.) d.j.middleton,marginatum,12,6,1979,163
amphineurion marginatum,,amphineurion,amphineurion marginatum (roxburgh) d. j. middleton,marginatum,20,4,1994,110
anacardium occidentale,,anacardium,anacardium occidentale l.,occidentale,,,,
anacolosa griffithii,,anacolosa,anacolosa griffithii mast.,griffithii,,,,
anaphalis adnata,,anaphalis,anaphalis adnata de candolle,adnata,,,,
anaphalis adnata,,anaphalis,anaphalis adnata wall. ex dc.,adnata,,,,
ancistrocladus extensus,,ancistrocladus,ancistrocladus extensus wall.,extensus,,,,
andrographis paniculata,,andrographis,andrographis paniculata,paniculata,1,1,1872,199
andrographis paniculata,,andrographis,andrographis paniculata nees.,paniculata,18,7,1961,1
andrographis paniculata,,andrographis,andrographis paniculata nees.,paniculata,18,7,1961,199
anethum graveolens,,anethum,anethum graveolens,graveolens,13,3,1945,72
anethum sowa,,anethum,anethum sowa roxb.,sowa,,,,
anethum sowa,,anethum,anethum sowa roxb.,sowa,,,,
angiopteris,,angiopteris,angiopteris  hoffm.,,2,6,2000,154
angiopteris crassipes,,angiopteris,angiopteris crassipes wall.,crassipes,,,,
angiopteris crassipes,,angiopteris,angiopteris crassipes wall.,crassipes,,,,
aniseia martinicensis,,aniseia,aniseia martinicensis,martinicensis,12,9,1944,256
anisomeles indica,,anisomeles,anisomeles indica,indica,28,10,1943,
anisomeles indica,,anisomeles,anisomeles indica,indica,1,8,1992,346
anisomeles indica,,anisomeles,anisomeles indica,indica,12,12,1934,301
anisomeles indica,,anisomeles,anisomeles indica,indica,,,,214
anisomeles indica,,anisomeles,anisomeles indica,indica,,,,
anisomeles malabarica,,anisomeles,anisomeles malabarica (l.) r. br.,malabarica,,,,270
anisomeles malabarica,,anisomeles,anisomeles malabarica (l.) sims,malabarica,27,9,1878,
,,,annonaceae,,,,,214
,,,annonaceae,,,,,
anodendron affine,,anodendron,anodendron affine (hook. & arn.) druce,affine,,,,
anodendron paniculatum,,anodendron,anodendron paniculatum,paniculatum,5,12,1944,71
anodendron paniculatum,,anodendron,anodendron paniculatum,paniculatum,12,3,1945,340
anoectochilus roxburghii,,anoectochilus,anoectochilus roxburghii (wall.) lindl.,roxburghii,9,11,1807,313
anoectochilus roxburghii,,anoectochilus,anoectochilus roxburghii (wall.) lindl.,roxburghii,,,,
anogeissus acuminata,,anogeissus,anogeissus acuminata (roxb. ex dc.) guill. & perr.,acuminata,15,6,2000,
anogeissus acuminata,,anogeissus,anogeissus acuminata (roxb. ex dc.) guill. & perr.,acuminata,,,,167
anogeissus acuminata,,anogeissus,anogeissus acuminata (roxb. ex dc.) guill. & perr.,acuminata,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,8,9,1900,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,11,3,1947,28
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,11,7,1947,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,23,3,1948,313
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,15,8,1954,207
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,2,8,1973,333
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,3,5,1979,207
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,10,6,1989,5
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,19,3,1996,173
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,24,4,2000,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,24,5,2000,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,19,12,2002,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,2,3,2007,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,8
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,275
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,32
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,252
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,236
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,200
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,332
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,237
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,18,5,1924,260
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,18,5,1924,282
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,3,11,1947,139
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,31,12,1947,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,16,3,1956,221
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,10,6,1959,215
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,28,2,1961,24
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,31,12,1963,270
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,24,1,1967,323
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,24,1,1967,24
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,24,5,2000,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,24,6,2000,189
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,142
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,143
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,205
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,83
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,192
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,282
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,341
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,313
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,164
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,164
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,143
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,266
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,249
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,236
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,215
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,79
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,195
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,17,7,1961,
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,17,7,1961,325
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,48
neolamarckia cadamba,,neolamarckia,anthocephalus cadamba,cadamba,,,,99
,,anthocephalus,anthocephalus chinensis (lam.) a.rich. ex walp.,chinensis,5,6,1999,138
neolamarckia cadamba,,neolamarckia,anthocephalus morindaefolius korth.,cadamba,,,,251
neolamarckia cadamba,,neolamarckia,anthocephalus morindaefolius korth.,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus morindaefolius korth.,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus morindaefolius korth.,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus morindaefolius korth.,cadamba,,,,
neolamarckia cadamba,,neolamarckia,anthocephalus morindaefolius korthals,cadamba,,,,
antidesma acidum,,antidesma,antidesma acidum,acidum,22,4,1886,112
antidesma acidum,,antidesma,antidesma acidum,acidum,22,4,1886,160
antidesma acidum,,antidesma,antidesma acidum retz.,acidum,9,6,1979,
antidesma acidum,,antidesma,antidesma acidum retz.,acidum,,,,112
antidesma ghesaembilla,,antidesma,antidesma ghaesembilla,ghesaembilla,4,1,1989,200
antidesma ghesaembilla,,antidesma,antidesma ghaesembilla,ghesaembilla,17,7,1992,245
antidesma ghesaembilla,,antidesma,antidesma ghaesembilla,ghesaembilla,18,7,1992,106
antidesma ghesaembilla,,antidesma,antidesma ghaesembilla,ghesaembilla,16,4,1994,4
antidesma ghesaembilla,,antidesma,antidesma ghaesembilla,ghesaembilla,1,9,1868,199
antidesma ghesaembilla,,antidesma,antidesma ghaesembilla,ghesaembilla,7,5,1875,159
antidesma ghesaembilla,,antidesma,antidesma ghaesembilla,ghesaembilla,8,6,1967,127
