dwc:occurrenceID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day of the year
urn:catalog:mo:tropicos:628769,thomas 5851,marantochloa,marantochloa conferta,3,10,1986,276
https://data.biodiversitydata.nl/naturalis/specimen/wag.1933278,"thomas, dw  8103",marantochloa,marantochloa conferta,10,6,1988,162
https://data.biodiversitydata.nl/naturalis/specimen/wag.1736389,"burgt, xm van der",marattia,marattia cicutifolia,23,11,2005,327
https://data.biodiversitydata.nl/naturalis/specimen/wag.1736386,"burgt, xm van der",marattia,marattia cicutifolia,23,11,2005,327
https://data.biodiversitydata.nl/naturalis/specimen/wag.1736390,"burgt, xm van der",marattia,marattia cicutifolia,23,11,2005,327
https://data.biodiversitydata.nl/naturalis/specimen/wag.1736387,"burgt, xm van der",marattia,marattia cicutifolia,23,11,2005,327
urn:catalog:mo:tropicos:17274,harris 2548,marattia,marattia cicutifolia,24,9,1990,267
https://data.biodiversitydata.nl/naturalis/specimen/wag.1420479,"thomas, dw  3214",massularia,massularia acuminata,28,2,1984,59
https://data.biodiversitydata.nl/naturalis/specimen/wag.1420454,"sonké, b  376",massularia,massularia acuminata,29,12,1992,364
912480f6-4db2-46b1-a8bb-37dec6751582,12358,massularia,massularia acuminata,22,3,2014,81
urn:catalog:mo:tropicos:883522,gereau 5554,massularia,massularia acuminata,21,11,1994,325
urn:catalog:mo:tropicos:533325,thomas 3214,massularia,massularia acuminata,28,2,1984,59
a0513aa2-ca54-483c-a83e-e5c893a5aa4d,124,maytenus,maytenus,27,9,1990,270
urn:catalog:mo:tropicos:1813913,sainge 580,medinilla,medinilla mirabilis,21,6,2000,173
c3927b4c-aeef-40a3-bc79-de4519f36cb6,115,megaphrynium,megaphrynium,14,9,1990,257
https://data.biodiversitydata.nl/naturalis/specimen/wag.1467868,"gereau, re  5578",megastachya,megastachya mucronata,25,11,1994,329
urn:catalog:mo:tropicos:883550,gereau 5578,megastachya,megastachya mucronata,25,11,1994,329
