(???) recordNumber,dwc:genus,gbif:canonicalName,dwc:scientificName,Day,Month,Year,Day of the Year
LCP011T3E1P3S1-5,guettarda,guettarda aromatica,guettarda aromatica,17,8,1974,229
DJP51T4E3P1S4-4,calyptranthes,calyptranthes macrophylla,calyptranthes macrophylla,13,8,1973,225
LCP07T4E3P3S1-4,doliocarpus,doliocarpus magnificus,doliocarpus magnificus,20,8,1976,233
CHC48T2E1P3S1-4,ardisia,,ardisia pellucida,7,12,1976,342
LCP07T4E3P3S1-3,ipomoea,ipomoea tiliacea,ipomoea tiliacea,17,8,1974,229
LCP012T3E5P3S1-5,casearia,casearia pitumba,casearia pitumba,5,10,1976,279
LCP03T5E3P1S1-5,ruellia,ruellia tarapotana,ruellia tarapotana,15,8,1973,227
DJP220T4E2P1S4-3,ruellia,ruellia tarapotana,ruellia tarapotana,15,8,1973,227
LCP030T5E1P1S4-3,tabernaemontana,tabernaemontana sananho,tabernaemontana sananho,23,9,1976,267
LCP03T3E3P3S1-2,combretum,combretum fruticosum,combretum laxum,7,9,1976,251
LCP017T4E4P3S1-5,aphelandra,aphelandra pepe-parodii,aphelandra pepe-parodii,17,8,1974,229
DJP232T3E2P2S2-4,combretum,combretum fruticosum,combretum laxum,17,8,1974,229
LCP02T4E3P2S1-1,piper,piper reticulatum,piper reticulatum l.,14,11,1980,319
CHC583T2E5P1S1-5,stigmaphyllon,stigmaphyllon maynense,stigmaphyllon maynense,28,10,1976,302
CHC032T1E1P1S4-4,inga,inga,inga punctata,23,7,1977,204
LCP010T2E5P1S1-5,acalypha,acalypha scandens,acalypha scandens,20,8,1976,233
CHC583T2E5P1S1-4,monstera,monstera obliqua,monstera obliqua miq.,20,8,1983,232
CHC109T2E2P3S2-3,rinorea,rinorea viridifolia,rinorea viridifolia,23,9,1976,267
LCP02T4E3P3S1-2,eirmocephala,eirmocephala megaphylla,eirmocephala megaphylla,20,8,1973,232
CHC48T2E1P3S1-3,rinorea,rinorea viridifolia,rinorea viridifolia,17,2,1977,48
CHC01T1E2P1S1-1,casearia,casearia pitumba,casearia pitumba,17,8,1974,229
DJP02T1E4P1S1-1,chiococca,chiococca alba,chiococca alba,17,8,1974,229
LCP010T4E3P1S1-5,ficus,ficus coerulescens,ficus coerulescens (rusby) rossberg,31,8,1989,243
LCP01T4E3P2S1-5,margaritopsis,margaritopsis haematocarpa,margaritopsis haematocarpa (standl.) c.m.taylor,5,11,1986,309
RDJ264-5,oxycaryum,,oxycaryum cubense (poepp. & kunth) palla,11,9,1986,254
RDJ244-5,hasseltia,hasseltia floribunda,hasseltia floribunda,4,8,1977,216
RDJ251-2,fevillea,fevillea cordifolia,fevillea cordifolia,21,8,1976,234
RDJ258-1,sarcomphalus,sarcomphalus cinnamomum,zizyphus cinnamomum triana & planch.,12,11,1980,317
ALP467-2,bunchosia,bunchosia armeniaca,bunchosia armeniaca (cav.) dc.,22,8,1976,235
ALP527-3,solanum,solanum oppositifolium,solanum oppositifolium ruiz & pav.,13,8,1973,225
RDJ264-4,odontocarya,odontocarya membranacea,odontocarya membranacea (a. c. sm.) r. ortiz,26,11,1980,331
RDJ267-5,annona,annona,annona montana macfad.,29,11,1986,333
ALP468-1,rinorea,rinorea viridifolia,rinorea viridifolia rusby,7,9,1989,250
RDJ267-2,otoba,otoba parvifolia,otoba parvifolia (markgr.) gentry,6,8,1983,218
ALP538-4,miconia,miconia erioclada,miconia erioclada,23,8,1976,236
ALP459-5,mucuna,,mucuna elliptica,12,8,1973,224
RDJ264-3,euphorbia,euphorbia hyssopifolia,euphorbia hyssopifolia,17,8,1974,229
RDJ264-1,calyptranthes,calyptranthes bipennis,calyptranthes bipennis,17,8,1974,229
RDJ244-4,inga,inga tenuistipula,inga tenuistipula,13,2,1977,44
ALP439-1,hasseltia,hasseltia floribunda,hasseltia floribunda,14,9,1976,258
RDJ258-4,caryodaphnopsis,caryodaphnopsis fosteri,caryodaphnopsis fosteri van der werff,6,7,1984,188
RDJ264-2,agouticarpa,agouticarpa curviflora,agouticarpa curviflora,11,8,1973,223
ALP469-3,theobroma,theobroma cacao,theobroma cacao,19,7,1998,200
RDJ251-5,klarobelia,klarobelia candida,klarobelia candida chatrou,21,11,1994,325
ALP527-1,guadua,guadua weberbaueri,guadua weberbaueri pilg.,22,10,1979,295
RDJ244-1,rhipsalis,rhipsalis baccifera,rhipsalis baccifera (j.s.muell.) stearn,26,8,1984,239
RDJ216-2,solanum,solanum barbeyanum,solanum barbeyanum huber,24,10,1979,297
RDJ209-5,ampelocera,,ampelocera ruizii,18,11,1976,323
RDJ245-2,palicourea,palicourea punicea,palicourea punicea,19,8,1973,231
RDJ244-3,calycophyllum,calycophyllum spruceanum,calycophyllum spruceanum,17,8,1974,229
RDJ241-4,hamelia,,hamelia axillaris,1,12,1976,336
ALP424-1,clidemia,clidemia octona,clidemia octona (bonpl.) l.o.williams,15,10,1998,288
ALP468-4,solanum,solanum thelopodium,solanum thelopodium sendtn.,18,8,1986,230
ALP467-5,caryodaphnopsis,caryodaphnopsis fosteri,caryodaphnopsis fosteri van der werff,6,7,1984,188
ALP459-3,solanum,solanum morellifolium,solanum morellifolium,17,8,1974,229
ALP469-1,calyptranthes,calyptranthes maxima,calyptranthes maxima,22,8,1973,234
RDJ245-5,cymbopetalum,cymbopetalum longipes,cymbopetalum longipes benth. ex diels,10,8,1984,223
RDJ244-2,annona,annona papilionella,annona papilionella (diels) h. rainer,25,1,1987,25
RDJ258-3,anomospermum,anomospermum chloranthum,anomospermum chloranthum diels,20,7,1984,202
ALP459-4,neea,neea floribunda,neea floribunda poepp. & endl.,8,8,1983,220
ALP538-5,sloanea,sloanea dentata,sloanea l.,14,9,1991,257
RDJ217-3,pouteria,,pouteria aubl.,19,8,1976,232
ALP527-2,desmodium,desmodium cajanifolium,desmodium cajanifolium (kunth) dc.,18,7,1984,200
ALP416-5,inga,inga ingoides,inga ingoides (rich.) willd.,2,8,1983,214
ALP466-2,inga,inga,inga mill.,15,8,1983,227
RDJ267-3,inga,inga,inga mill.,8,10,1991,281
ALP423-2,dalechampia,dalechampia magnoliifolia,dalechampia magnoliifolia müll. arg.,18,8,1989,230
RDJ251-3,croton,croton pachypodus,croton pachypodus g.l. webster,25,7,1986,206
RDJ174-1,erythroxylum,erythroxylum ruryi,erythroxylum ruryi plowman,18,8,1989,230
RDJ241-5,paullinia,paullinia cururu,paullinia l.,30,8,1990,242
ALP425-3,allophylus,allophylus zeylanicus,allophylus l.,16,10,1991,289
RDJ251-1,simarouba,simarouba amara,simarouba amara aubl.,18,8,1989,230
ALP459-1,guarea,guarea kunthiana,guarea kunthiana a. juss.,30,8,1990,242
ALP439-4,trichilia,trichilia poeppigii,trichilia poeppigii c. dc.,5,8,1983,217
ALP458-4,guarea,,guarea pubescens subsp. pubescens,13,9,1986,256
RDJ217-1,dendropanax,dendropanax cuneatus,dendropanax cuneatus (dc.) decne. & planch.,29,7,1984,211
RDJ216-5,tynanthus,tynanthus polyanthus,tynanthus polyanthus (bureau) sandwith,17,10,1979,290
RDJ209-4,paragonia,,paragonia pyramidata (rich.) bureau,5,10,1982,278
RDJ267-4,wendlandiella,wendlandiella gracilis,wendlandiella gracilis dammer,8,8,1983,220
RDJ209-3,philodendron,philodendron divaricatum,philodendron divaricatum k. krause,1,5,1987,121
ALP467-3,pteris,,pteris l.,15,8,1986,227
ALP469-2,ctenitis,ctenitis ampla,ctenitis ampla (humb. & bonpl. ex willd.) ching,10,8,1984,223
ALP466-5,paullinia,paullinia capreolata,paullinia capreolata,27,11,1976,332
RDJ245-3,alsophila,alsophila cuspidata,alsophila cuspidata (kunze) d.s. conant,13,9,1986,256
RDJ175-3,diplazium,diplazium cristatum,diplazium cristatum (desr.) alston,19,8,1986,231
RDJ258-2,undesignated,,acanthaceae juss.,17,8,1983,229
ALP392-5,sterculia,sterculia balanghas,sterculia l.,14,9,1991,257
RDJ214-2,gurania,,gurania lobata (l.) pruski,15,8,1986,227
ALP459-2,eugenia,,eugenia florida dc.,16,10,1991,289
ALP458-5,eugenia,,eugenia l.,8,10,1991,281
ALP468-3,rudgea,rudgea poeppigii,rudgea poeppigii k. schum. ex standl.,12,11,1982,316
RDJ209-1,iryanthera,iryanthera juruensis,iryanthera juruensis warb.,10,8,1983,222
RDJ267-1,coccoloba,coccoloba lehmannii,coccoloba lehmannii lindau,10,8,1978,222
ALP393-2,caraipa,caraipa myrcioides,caraipa myrcioides ducke,2,8,1983,214
ALP424-4,lonchocarpus,lonchocarpus spiciflorus,lonchocarpus spiciflorus,17,8,1974,229
RDJ216-3,inga,inga alba,inga alba (sw.) willd.,18,8,1989,230
ALP423-5,solanum,solanum robustifrons,solanum robustifrons,13,8,1973,225
ALP504-4,ruellia,,ruellia proxima,20,8,1976,233
RDJ245-1,rourea,rourea cuspidata,rourea cuspidata var. pedicellata baker,24,2,1977,55
ALP416-4,pachyrhizus,pachyrhizus tuberosus,pachyrhizus tuberosus (lam.) spreng.,20,10,1995,293
ALP487-5,faramea,faramea anisocalyx,faramea anisocalyx poepp. & endl.,26,9,1993,269
ALP417-2,undesignated,,myrtaceae juss.,26,10,1993,299
RDJ208-5,duguetia,duguetia quitarensis,duguetia quitarensis benth.,14,12,1998,348
RDJ217-2,sparattanthelium,sparattanthelium tarapotanum,sparattanthelium tarapotanum meisn.,12,8,1973,224
RDJ214-5,ardisia,,ardisia sw.,20,10,1995,293
ALP439-3,inga,inga,inga mill.,20,10,1995,293
ALP467-1,garcinia,garcinia guacopary,garcinia guacopary (s. moore) m. nee,19,8,1989,231
ALP489-3,guazuma,guazuma crinita,guazuma crinita mart.,24,11,1980,329
RDJ209-2,ruellia,ruellia tarapotana,ruellia tarapotana,17,8,1983,229
ALP466-3,ruellia,ruellia tarapotana,ruellia tarapotana,20,8,1976,233
ALP416-3,undesignated,,lauraceae juss.,19,10,1979,292
ALP416-1,oxandra,oxandra espintana,oxandra espintana (spruce ex benth.) baill.,16,10,1979,289
ALP477-1,unonopsis,,unonopsis r.e. fr.,18,10,1979,291
ALP425-1,piper,piper sintenense,piper hispidum sw.,24,9,1982,267
ALP468-2,sida,sida rhombifolia,sida rhombifolia l.,19,10,1979,292
RDJ245-4,mouriri,mouriri grandiflora,mouriri grandiflora dc.,19,10,1979,292
RDJ208-4,styloceras,styloceras brokawii,styloceras brokawii a.h. gentry & r.b. foster,23,10,1979,296
ALP393-5,scheelea,,scheelea h. karst.,20,10,1979,293
RDJ174-4,guadua,guadua weberbaueri,guadua weberbaueri pilg.,22,10,1979,295
ALP392-4,olyra,olyra latifolia,olyra latifolia l.,23,10,1979,296
RDJ216-1,undesignated,,lauraceae juss.,25,9,1991,268
ALP423-3,undesignated,,fabaceae lindl.,19,8,1986,231
ALP415-5,virola,virola mollissima,virola mollissima (poepp. ex a. dc.) warb.,11,8,1983,223
ALP483-5,ocotea,ocotea,ocotea longifolia kunth,30,8,1990,242
ALP425-2,nectandra,nectandra cuneatocordata,nectandra cuneatocordata mez,10,8,1983,222
ALP491-4,aiouea,aiouea grandifolia,aiouea grandifolia van der werff,8,10,1991,281
RDJ258-5,peperomia,peperomia tetragona,peperomia ruiz & pav.,25,9,1991,268
ALP417-5,odontocarya,odontocarya echinus,odontocarya echinus barneby,30,8,1990,242
ALP466-1,maquira,maquira calophylla,maquira calophylla (poepp. & endl.) c.c. berg,18,8,1989,230
RDJ173-2,ficus,ficus crocata,ficus perez-arbelaezii dugand,11,8,1983,223
ALP415-4,tetrathylacium,tetrathylacium macrophyllum,tetrathylacium macrophyllum poepp.,19,9,1986,262
ALP363-1,capparis,capparis,capparis sola j.f. macbr.,27,8,1986,239
RDJ175-1,erythrina,erythrina poeppigiana,erythrina poeppigiana (walp.) skeels,16,8,1984,229
ALP474-2,ficus,ficus coerulescens,ficus killipii standl.,17,8,1983,229
ALP392-3,phthirusa,,phthirusa pyrifolia (kunth) eichler,25,9,1991,268
ALP392-1,eugenia,eugenia oerstediana,eugenia oerstediana o. berg,8,9,1979,251
RDJ214-3,talisia,talisia hexaphylla,talisia hexaphylla subsp. multinervis acev.-rodr.,4,8,1984,217
ALP423-1,capparis,capparis,capparis sola j.f. macbr.,11,7,1977,192
ALP439-2,pourouma,pourouma guianensis,pourouma aubl.,19,10,1979,292
ALP360-3,cuspidaria,cuspidaria lateriflora,cuspidaria lateriflora (mart.) dc.,6,10,1982,279
ALP424-3,mauritia,mauritia flexuosa,mauritia flexuosa l. f.,29,7,1984,211
ALP466-4,thoracocarpus,thoracocarpus bissectus,thoracocarpus bissectus (vell.) harling,11,8,1983,223
AFC1704-4,monstera,monstera obliqua,monstera obliqua miq.,20,8,1983,232
ALP504-3,fimbristylis,fimbristylis dichotoma dichotoma,fimbristylis annua (all.) roem. & schult.,15,8,1983,227
ALP416-2,asplenium,asplenium,asplenium auritum sw.,24,7,1984,206
ALP468-5,margaritaria,margaritaria nobilis,margaritaria nobilis l. f.,18,8,1989,230
RDJ173-5,geonoma,geonoma macrostachys,geonoma macrostachys mart.,23,8,1986,235
RDJ326-5,guatteria,guatteria microcarpa,guatteria ruiz & pav.,18,8,1989,230
ALP489-5,piper,piper chavicoide,piper chavicoides (miq.) c. dc.,15,7,1986,196
ALP489-2,sciadotenia,sciadotenia toxifera,sciadotenia toxifera krukoff & a.c. sm.,3,3,1977,62
RDJ214-1,tovomitopsis,,tovomitopsis planch. & triana,10,8,1983,222
ALP361-2,casearia,,casearia decandra jacq.,30,8,1990,242
ALP489-1,casearia,casearia maynacarpa,casearia maynacarpa liesner & p. jørg.,8,8,1986,220
RDJ175-2,dipteryx,dipteryx micrantha,dipteryx micrantha harms,24,10,1979,297
ALP417-3,ruellia,,ruellia sp.,17,8,1974,229
AFC1697-3,justicia,justicia appendiculata,justicia appendiculata,17,8,1974,229
RDJ172-4,canavalia,canavalia eurycarpa,canavalia eurycarpa,12,8,1973,224
RDJ172-5,canavalia,canavalia eurycarpa,canavalia eurycarpa,21,8,1976,234
ALP393-3,havetiopsis,,havetiopsis flavida (benth.) planch. & triana,31,10,1986,304
ALP360-2,trichilia,trichilia poeppigii,trichilia poeppigii,19,8,1986,231
ALP439-5,equisetum,equisetum giganteum,equisetum giganteum l.,16,8,1984,229
ALP393-1,hibiscus,hibiscus peruvianus,hibiscus peruvianus,13,10,1991,286
ALP392-2,faramea,faramea anisocalyx,faramea anisocalyx,23,10,1976,297
ALP487-3,doliocarpus,doliocarpus dentatus,doliocarpus dentatus subsp. dentatus,17,8,1973,229
RDJ214-4,mayna,mayna odorata,mayna odorata,15,8,1986,227
AFC1665-4,mayna,mayna odorata,mayna odorata,20,2,1977,51
ALP610-1,epidendrum,epidendrum prostratum,epidendrum prostratum (lindl.) rchb. f.,30,8,1986,242
ALP495-4,pouteria,pouteria ephedrantha,pouteria ephedrantha (a.c. sm.) t.d. penn.,30,8,1990,242
ALP474-4,lindackeria,lindackeria paludosa,lindackeria paludosa (benth.) gilg,18,9,1986,261
ALP424-2,fevillea,fevillea cordifolia,fevillea cordifolia,17,8,1973,229
RDJ251-4,blakea,blakea rosea,blakea rosea (ruiz & pav.) d.don,9,10,1998,282
YVCR3189-5,pachystachys,pachystachys spicata,pachystachys riedeliana nees,28,7,1986,209
ALP491-3,inga,inga,inga marginata willd.,17,8,1983,229
ALP417-1,amphilophium,,amphilophium nunezii,8,10,1991,281
ALP360-1,drypetes,drypetes glauca,drypetes vahl,26,11,1980,331
ALP495-2,ocotea,ocotea camphoromoea,ocotea camphoromoea,6,11,1986,310
RDJ174-3,endlicheria,endlicheria krukovii,endlicheria krukovii,10,9,1986,253
ALP360-5,cordia,,cordia nodosa,13,8,1973,225
ALP495-3,struthanthus,struthanthus,struthanthus sp.,9,10,1991,282
ALP474-5,begonia,,begonia maynensis a. dc.,21,7,1984,203
YVCR3186-3,miconia,miconia triplinervis,miconia triplinervis ruiz & pav.,9,10,1998,282
RDJ327-2,peperomia,peperomia tetragona,peperomia ruiz & pav.,17,8,1974,229
AFC1697-2,undesignated,,undesignated,10,8,1986,222
ALP483-3,pacouria,pacouria boliviensis,pacouria boliviensis (markgr.) a. chev.,30,8,1990,242
YVCR3175-4,eschweilera,eschweilera parvifolia,eschweilera mart. ex dc.,8,8,1986,220
ALP476-4,undesignated,,myrtaceae juss.,19,7,1984,201
ALP474-1,bia,,bia fallax (müll. arg.) g.l. webster,20,8,1983,232
ALP504-1,ficus,,ficus trigona l. f.,8,8,1983,220
ALP495-5,malmea,malmea dielsiana,malmea dielsiana saff. ex r.e. fr.,19,10,1979,292
AFC1697-5,solanum,solanum oppositifolium,solanum oppositifolium,16,8,1973,228
RDJ173-1,barnebydendron,,barnebydendron riedelii (tul.) j.h. kirkbr.,16,10,1991,289
RDJ173-3,neea,neea hermaphrodita,neea hermaphrodita s. moore,14,8,1982,226
ALP424-5,ruizodendron,ruizodendron ovale,ruizodendron ovale (ruiz & pav.) r.e. fr.,4,8,1983,216
ALP476-3,fevillea,fevillea pedatifolia,fevillea pedatifolia (cogn.) c. jeffrey,5,10,1979,278
ALP361-5,undesignated,,sapotaceae juss.,18,8,1989,230
ALP417-4,warszewiczia,warszewiczia coccinea,warszewiczia coccinea (vahl) klotzsch,8,8,1986,220
ALP467-4,mecardonia,mecardonia procumbens,mecardonia procumbens (mill.) small,5,8,1984,218
AFC1704-3,undesignated,,fabaceae lindl.,10,8,1983,222
RDJ174-2,anthurium,anthurium guayaquilense,anthurium gracillimum engl.,24,10,1979,297
ALP361-4,carapichea,carapichea dolichophylla,carapichea dolichophylla (standl.) c.m. taylor,21,10,1979,294
AFC1697-1,casearia,,casearia fasciculata (ruiz & pav.) sleumer,22,10,1979,295
ALP476-2,solanum,solanum lepidotum,solanum lepidotum dunal,22,8,1986,234
YVCR3173-5,liabum,liabum amplexicaule,liabum amplexicaule poepp.,6,8,1984,219
YVCR3204-1,odontocarya,odontocarya tripetala,odontocarya tripetala,3,11,1986,307
YVCR3186-2,guatteria,guatteria blepharophylla,guatteria blepharophylla,18,8,1973,230
ALP487-4,protium,protium tenuifolium tenuifolium,protium neglectum swart,17,8,1973,229
YVCR3133-3,amblovenatum,,amblovenatum opulentum (kaulf.) j.p. roux,17,8,1974,229
YVCR3172-3,ruellia,ruellia tarapotana,ruellia tarapotana,24,8,1976,237
RDJ326-3,cayaponia,cayaponia glandulosa,cayaponia glandulosa,31,10,1986,304
SU1380-4,solanum,solanum endopogon,solanum endopogon (bitter) bohs,18,8,1986,230
SU1380-2,cordia,,cordia nodosa lam.,13,8,1973,225
YVCR3203-2,bignonia,bignonia lilacina,bignonia lilacina (a.h. gentry) l.g. lohmann,23,10,1979,296
RDJ173-4,ruizodendron,ruizodendron ovale,ruizodendron ovale (ruiz & pav.) r.e. fr.,17,10,1979,290
YVCR3186-1,justicia,justicia appendiculata,justicia appendiculata (ruiz & pav.) vahl,1,8,1983,213
RDJ327-4,andira,,andira inermis subsp. inermis,22,1,1987,22
RDJ216-4,diospyros,diospyros subrotata,diospyros subrotata hiern,19,10,1980,293
ALP476-5,undesignated,,fabaceae lindl.,8,9,1986,251
SU1380-3,xylopia,xylopia ligustrifolia,xylopia ligustrifolia humb. & bonpl. ex dunal,22,8,1986,234
ALP487-1,xylopia,,xylopia l.,8,8,1983,220
RDJ327-5,undesignated,,lauraceae juss.,14,9,1991,257
ALP491-1,brosimum,brosimum guianense,brosimum guianense (aubl.) huber,30,8,1990,242
RDJ174-5,sorocea,,sorocea pileata w.c. burger,8,8,1983,220
ALP489-4,pedersenia,pedersenia argentata,pedersenia argentata (mart.) holub,3,8,1983,215
YVCR3178-1,pseudomalmea,pseudomalmea diclina,pseudomalmea diclina (r.e. fr.) chatrou,4,8,1983,216
YVCR3131-4,mosannona,mosannona parva,mosannona parva chatrou,26,8,1984,239
ALP361-1,virola,,virola loretensis a.c. sm.,10,8,1983,222
YVCR3185-4,aristolochia,aristolochia odoratissima,aristolochia odoratissima l.,30,6,1984,182
ALP487-2,cissampelos,cissampelos andromorpha,cissampelos andromorpha dc.,10,7,1984,192
YVCR3186-5,ceiba,ceiba samauma,ceiba samauma (mart.) k. schum.,31,8,1984,244
ALP504-5,ficus,ficus ypsilophlebia,ficus ypsilophlebia dugand,10,8,1983,222
YVCR3203-4,pourouma,pourouma cecropiifolia,pourouma cecropiifolia mart.,4,8,1983,216
AFC1665-3,coccoloba,coccoloba mollis,coccoloba mollis casar.,8,10,1991,281
YVCR3189-3,hirtella,,hirtella l.,14,9,1991,257
SU1380-5,garcinia,garcinia madruno,garcinia madruno (kunth) hammel,3,8,1983,215
ALP474-3,dipteryx,dipteryx micrantha,dipteryx micrantha harms,8,8,1983,220
YVCR3185-3,bocoa,bocoa alterna,bocoa alterna (benth.) r.s. cowan,13,9,1986,256
YVCR3172-2,quararibea,quararibea guianensis,quararibea guianensis aubl.,18,8,1989,230
YVCR3138-3,cavanillesia,cavanillesia hylogeton,cavanillesia hylogeiton ulbr.,29,7,1984,211
YVCR3132-2,inga,inga thibaudiana,inga thibaudiana dc.,20,8,1986,232
RDJ327-1,inga,inga,inga striata benth.,18,8,1989,230
ALP491-5,tachigali,tachigali paniculata,tachigali aubl.,28,8,1984,241
YVCR3172-1,bocoa,bocoa alterna,bocoa alterna (benth.) r.s. cowan,18,9,1986,261
ALP483-4,monotagma,monotagma plurispicatum,monotagma plurispicatum,7,11,1986,311
YVCR3175-3,inga,inga sertulifera,inga sertulifera dc.,18,8,1989,230
YVCR3203-5,platypodium,platypodium viride,platypodium viride vogel,18,8,1989,230
YVCR3176-4,niedenzuella,niedenzuella stannea,niedenzuella stannea (griseb.) w.r. anderson,19,8,1986,231
AFC1575-3,pterocarpus,,pterocarpus jacq.,8,10,1991,281
YVCR3176-2,terminalia,terminalia amazonica,terminalia amazonia (j.f. gmel.) exell,18,7,1984,200
ALP483-1,allophylus,allophylus divaricatus,allophylus divaricatus radlk.,11,8,1983,223
ALP483-2,talisia,,talisia aubl.,30,8,1990,242
YVCR3172-5,justicia,justicia yurimaguensis,justicia yurimaguensis lindau,29,7,1984,211
YVCR3135-5,bignonia,bignonia sciuripabula,bignonia sciuripabulum (hovel.) l.g. lohmann,6,9,1985,249
YVCR3137-4,fridericia,fridericia pearcei,fridericia pearcei (rusby) l.g. lohmann,13,9,1986,256
YVCR3136-2,adenocalymma,adenocalymma impressum,adenocalymma impressum (rusby) sandwith,19,10,1979,292
YVCR3132-1,martinella,martinella iquitoensis,martinella iquitoensis a. samp.,6,6,2001,157
ALP360-4,fridericia,fridericia schumanniana,fridericia schumanniana (loes.) l.g. lohmann,27,11,1982,331
ALP423-4,amphilophium,amphilophium paniculatum,amphilophium paniculatum (l.) kunth,5,6,2001,156
YVCR3185-2,callichlamys,callichlamys latifolia,callichlamys latifolia (rich.) k. schum.,9,6,2001,160
YVCR3185-5,paragonia,,paragonia pyramidata (rich.) bureau,3,10,1982,276
YVCR3082-2,amphilophium,amphilophium nunezii,haplolophium nunezii a.h. gentry,17,10,1979,290
AFC1704-1,tynanthus,tynanthus schumannianus,tynanthus schumannianus (kuntze) a.h. gentry,16,10,1979,289
YVCR3129-5,tynanthus,tynanthus schumannianus,tynanthus schumannianus (kuntze) a.h. gentry,7,9,1986,250
RDJ326-1,mansoa,mansoa standleyi,mansoa standleyi (steyerm.) a.h. gentry,1,1,1984,1
YVCR3176-5,tanaecium,tanaecium jaroba,tanaecium jaroba sw.,22,10,1979,295
YVCR3203-1,philodendron,philodendron heterophyllum,philodendron heterophyllum poepp.,19,8,1986,231
YVCR3139-5,scleria,,scleria huberi c.b. clarke,18,8,1986,230
YVCR3129-2,adiantum,adiantum scalare,adiantum scalare r.m. tryon,13,9,1986,256
YVCR3133-2,ouratea,ouratea guianensis,ouratea aubl.,19,8,1983,231
YVCR3135-3,eschweilera,eschweilera parvifolia,eschweilera mart. ex dc.,18,8,1989,230
YVCR3173-3,passiflora,passiflora,passiflora spinosa (poepp. & endl.) mast.,25,7,1986,206
RDJ326-2,gurania,,gurania sinuata (benth.) cogn.,18,8,1989,230
ALP393-4,rheedia,,rheedia l.,8,10,1991,281
ALP361-3,gustavia,gustavia hexapetala,gustavia hexapetala (aubl.) sm.,13,9,1986,256
YVCR3136-1,laetia,,laetia procera (poepp.) eichler,16,10,1991,289
AFC1704-5,pouteria,pouteria fossicola,pouteria fossicola cronquist,31,8,1984,244
AFC1575-2,zygia,,zygia coccinea var. macrophylla,19,8,1973,231
AFC1575-5,aciotis,aciotis rubricaulis,aciotis rubricaulis (mart. ex dc.) triana,7,9,1986,250
RDJ326-4,calatola,calatola microcarpa,calatola microcarpa a.h. gentry ex r. duno & janovec,17,5,1977,137
ALP504-2,eucharis,eucharis ulei,eucharis ulei kraenzl.,14,8,1982,226
YVCR3189-2,ficus,,ficus trigona l. f.,17,8,1974,229
AFC1665-1,diospyros,diospyros lotus,diospyros l.,26,10,1993,299
YVCR3135-1,inga,inga,inga mill.,20,10,1995,293
AFC1575-4,vriesea,vriesea,vriesea lindl.,11,8,1973,223
YVCR3129-1,caryodaphnopsis,caryodaphnopsis fosteri,caryodaphnopsis fosteri van der werff,6,7,1984,188
YVCR3189-1,alibertia,alibertia manuana,alibertia manuana,11,8,1973,223
YVCR3132-4,miconia,,miconia ruiz & pav.,15,10,1998,288
YVCR3135-4,cheiloclinium,cheiloclinium cognatum,cheiloclinium cognatum,11,8,1973,223
YVCR3173-2,trichilia,trichilia pleeana,trichilia pleeana,19,9,1986,262
YVCR3080-3,sloanea,sloanea,sloanea guianensis,17,8,1973,229
YVCR3023-3,astrocaryum,astrocaryum,astrocaryum,27,11,1980,332
AFC1520-5,paullinia,paullinia hystrix,paullinia hystrix,17,8,1974,229
YVCR3138-2,begonia,,begonia glabra,18,7,1977,199
YVCR3081-4,rosenbergiodendron,rosenbergiodendron longiflorum,rosenbergiodendron longiflorum,15,11,1976,320
YVCR3175-1,sloanea,sloanea,sloanea guianensis subsp. stipitata,21,9,1976,265
YVCR3176-1,caryodaphnopsis,caryodaphnopsis fosteri,caryodaphnopsis fosteri van der werff,6,7,1984,188
YVCR3189-4,passiflora,passiflora riparia,passiflora riparia,3,9,1989,246
AFC1697-4,bunchosia,bunchosia armeniaca,bunchosia armeniaca (cav.) dc.,17,2,1977,48
YVCR3139-3,oxandra,,oxandra espinosa (spruce) baill.,8,8,1986,220
YVCR3074-5,sloanea,sloanea fendleriana,sloanea fendleriana benth.,22,10,1979,295
YVCR3078-1,undesignated,,annonaceae juss.,5,8,1983,217
ALP491-2,undesignated,,lauraceae juss.,24,7,1984,206
AFC1520-2,undesignated,,lauraceae juss.,18,8,1989,230
YVCR3139-1,undesignated,,nyctaginaceae juss.,18,9,1986,261
AFC1665-5,undesignated,,fabaceae lindl.,16,10,1991,289
YVCR3131-2,serjania,serjania crassifolia,serjania crassifolia radlk.,18,9,1986,261
YVCR3139-4,perebea,perebea tessmannii,perebea tessmannii mildbr.,18,9,1986,261
YVCR3186-4,sorocea,sorocea briquetii,sorocea briquetii j.f. macbr.,10,8,1983,222
YVCR3129-4,neea,neea verticillata,neea ruiz & pav.,25,9,1991,268
YVCR3035-5,rhipsalis,rhipsalis baccifera,rhipsalis baccifera (sol.) stearn,26,8,1984,239
YVCR3074-1,sloanea,sloanea,sloanea guianensis (aubl.) benth.,23,10,1979,296
YVCR3129-3,sloanea,sloanea dentata,sloanea l.,2,8,1983,214
YVCR3021-4,inga,inga thibaudiana,inga thibaudiana dc.,22,9,1986,265
YVCR3173-1,oryctanthus,oryctanthus botryostachyus,oryctanthus (griseb.) eichler,30,8,1990,242
AFC1520-1,plukenetia,plukenetia brachybotrya,plukenetia brachybotrya müll. arg.,12,9,1986,255
YVCR3133-5,banisteriopsis,banisteriopsis muricata,banisteriopsis muricata (cav.) cuatrec.,15,8,1983,227
