(???) recordNumber,dwc:genus,gbif:canonicalName,dwc:scientificName,Day,Month,Year,Day of the Year
LCP02T2E4P1S1,eugenia,,eugenia florida dc.,12,10,1986,285
LCP013T2E4P1S1,monotagma,monotagma plurispicatum,monotagma plurispicatum,10,5,1991,130
LCP035T2E4P2S5,cremastosperma,cremastosperma bullatum,cremastosperma confusum pirie,7,1,1981,7
LCP08T2E2P3S1,gaultheria,gaultheria hispidula,gaultheria l.,29,5,2010,149
LCP050T2E2P2S5,sloanea,sloanea,sloanea congesta t. d. penn.,5,11,1986,309
LCP06T2E3P3S1,eumachia,,eumachia huallagae (standl.) c. m. taylor & razafim.,5,11,1986,309
LCP011T2E4P3S1,mikania,mikania guaco,mikania guaco,17,8,1974,229
LCP061T2E4P3S5,erythroxylum,erythroxylum raimondii,erythroxylum raimondii o. e. schulz,25,12,1988,360
LCP05T2E3P2S1,cremastosperma,cremastosperma bullatum,cremastosperma confusum pirie,8,12,1976,343
LCP023T2E4P2S3,undesignated,,menispermaceae juss.,10,7,1984,192
LCP020T2E4P3S2,chamaedorea,chamaedorea pinnatifrons,chamaedorea pinnatifrons (jacq.) oerst.,13,2,1990,44
LCP019T2E4P2S2,alchornea,alchornea glandulosa,alchornea glandulosa poepp.,10,8,1984,223
LCP022T2E4P1S1,anthurium,anthurium oxycarpum,anthurium oxycarpum poepp.,8,7,1988,190
LCP076T2E4P1S5,piper,piper arboreum,piper arboreum aubl.,5,8,1984,218
LCP016T2E4P3S1,monotagma,monotagma plurispicatum,monotagma plurispicatum,16,8,1973,228
LCP025T2E4P2S3,oxandra,oxandra mediocris,oxandra mediocris diels,19,12,1988,354
LCP012T2E3P1S2,lunania,,lunania parviflora spruce ex benth.,22,10,1979,295
LCP09T2E4P2S1,sloanea,sloanea obtusifolia,sloanea obtusifolia (moric.) k. schum.,19,5,1984,140
LCP031T2E4P1S2,ochroma,ochroma pyramidale,ochroma pyramidale (cav. ex lam.) urb.,28,7,1984,210
LCP042T2E4P2S5,polylepis,polylepis pauta,polylepis pauta hieron.,30,10,1987,303
LCP046T2E4P2S5,bauhinia,bauhinia tarapotensis,bauhinia tarapotensis benth.,5,7,1984,187
LCP02T2E4P3S1,zygia,,zygia latifolia var. communis barneby & j.w. grimes,3,5,1987,123
LCP093T2E5P1S2,fridericia,fridericia schumanniana,fridericia schumanniana (loes.) l.g. lohmann,10,6,2001,161
LCP010T2E4P3S1,mansoa,,mansoa kerere (aubl.) a.h. gentry,3,5,1987,123
LCP03T2E3P2S1,amphilophium,amphilophium nunezii,haplolophium nunezii a.h. gentry,5,6,2001,156
LCP017T2E4P1S1,allophylus,allophylus,allophylus loretensis,23,1,1977,23
LCP031T2E4P2S4,batocarpus,batocarpus amazonicus,batocarpus amazonicus (ducke) fosberg,25,8,1984,238
LCP056T2E4P1S4,neea,neea parviflora,neea parviflora poepp. & endl.,19,8,1973,231
LCP011T2E3P2S3,quararibea,quararibea wittii,quararibea wittii k. schum. & ulbr.,24,7,1984,206
LCP038T2E4P1S2,connarus,connarus punctatus,connarus punctatus planch.,29,5,1984,150
LCP074T2E4P1S5,erythrina,erythrina poeppigiana,erythrina poeppigiana (walp.) o.f. cook,26,8,1984,239
LCP037T2E4P2S5,miconia,miconia ternatifolia,miconia ternatifolia triana,10,7,1984,192
LCP06T2E3P2S1,paullinia,paullinia gigantea,paullinia gigantea poepp.,3,5,1987,123
LCP022T2E4P2S3,simarouba,simarouba amara,simarouba amara aubl.,25,8,1984,238
LCP030T2E4P2S4,callichlamys,callichlamys latifolia,callichlamys latifolia (rich.) k. schum.,16,10,1979,289
LCP031T2E3P1S5,fridericia,fridericia pearcei,fridericia pearcei (rusby) l.g. lohmann,15,6,2001,166
LCP075T2E4P1S5,mansoa,mansoa verrucifera,mansoa verrucifera (schltdl.) a.h. gentry,17,10,1979,290
LCP065T2E4P3S5,geonoma,geonoma diversa,geonoma diversa kunth,5,7,1984,187
LCP070T2E4P1S5,sloanea,sloanea obtusifolia,sloanea obtusifolia (moric.) k. schum.,6,5,1984,127
LCP067T2E4P1S4,polystichum,polystichum spinulosum,polystichum roth,30,10,1987,303
LCP015T2E4P1S1,serpocaulon,serpocaulon crystalloneuron,serpocaulon crystalloneuron (rosenst.) a.r. sm.,30,10,1987,303
LCP029T2E4P3S2,marila,,marila laxiflora rusby,24,7,1984,206
LCP052T2E4P1S3,ombrophytum,ombrophytum peruvianum,ombrophytum peruvianum poepp. & endl.,18,7,1984,200
