dwc:catalogNumber,Family,dwc:genus,species,Day,Month,Year,Day of the year
217017,Chrysobalanaceae,acioa,acioa edulis,18,11,1986,322
s08/19456,Chrysobalanaceae,acioa,acioa edulis,19,8,1973,231
141094,Chrysobalanaceae,acioa,acioa edulis,20,4,1981,110
406440,Chrysobalanaceae,acioa,acioa edulis,15,12,1971,349
406441,Chrysobalanaceae,acioa,acioa edulis,15,12,1971,349
223079,Chrysobalanaceae,acioa,acioa edulis,22,1,2008,22
217017,Chrysobalanaceae,acioa,acioa edulis,18,11,1986,322
249576,Chrysobalanaceae,acioa,acioa edulis,15,9,2005,258
39844,Chrysobalanaceae,acioa,acioa edulis,13,7,1973,194
238982,Chrysobalanaceae,acioa,acioa edulis,20,9,2010,263
40591,Chrysobalanaceae,acioa,acioa edulis,19,8,1973,231
39844,Chrysobalanaceae,acioa,acioa edulis,13,7,1973,194
2839109,Chrysobalanaceae,acioa,acioa edulis,19,8,1973,231
2845274,Chrysobalanaceae,acioa,acioa edulis,13,7,1973,194
1413,Chrysobalanaceae,acioa,acioa edulis,15,8,2006,227
mfsfr000124,Chrysobalanaceae,acioa,acioa edulis,15,8,2006,227
3158726,Chrysobalanaceae,acioa,acioa edulis,13,7,1973,194
2636766,Chrysobalanaceae,acioa,acioa edulis,15,12,1971,349
s18/18988,Chrysobalanaceae,acioa,acioa edulis,1,1,1900,1
47829,Chrysobalanaceae,acioa,acioa edulis,10,2,1975,41
32231,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
45107,Chrysobalanaceae,acioa,acioa edulis,11,5,1974,131
,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
rb00068383,Chrysobalanaceae,acioa,acioa edulis,2,10,1975,275
141131,Chrysobalanaceae,acioa,acioa edulis,10,7,1982,191
s08/19462,Chrysobalanaceae,acioa,acioa edulis,9,5,1974,129
428070,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
406438,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
406437,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
406436,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
406439,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
428071,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
3158671,Chrysobalanaceae,acioa,acioa edulis,2,10,1975,275
3158786,Chrysobalanaceae,acioa,acioa edulis,5,9,1974,248
45106,Chrysobalanaceae,acioa,acioa edulis,9,5,1974,129
182048,Chrysobalanaceae,acioa,acioa edulis,8,11,1991,312
32231,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
45106,Chrysobalanaceae,acioa,acioa edulis,9,5,1974,129
45107,Chrysobalanaceae,acioa,acioa edulis,11,5,1974,131
10937,Chrysobalanaceae,acioa,acioa edulis,1,9,2014,244
v0360823f,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
s18/18996,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
rb00536999,Chrysobalanaceae,acioa,acioa edulis,7,9,1971,250
wag.1390098,Chrysobalanaceae,acioa,acioa edulis,10,2,1975,41
cda/0045158,Chrysobalanaceae,acioa,acioa edulis,10,8,2012,223
wag.1390097,Chrysobalanaceae,acioa,acioa edulis,10,2,1975,41
2636769,Chrysobalanaceae,acioa,acioa edulis,7,9,1971,250
2839093,Chrysobalanaceae,acioa,acioa edulis,2,10,1975,275
2839116,Chrysobalanaceae,acioa,acioa edulis,5,11,1974,309
2839113,Chrysobalanaceae,acioa,acioa edulis,5,9,1974,248
p05562767,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
163366,Chrysobalanaceae,acioa,acioa edulis,7,9,1971,250
barcode/00046163,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
2636768,Chrysobalanaceae,acioa,acioa edulis,7,9,1971,250
878098,Arecaceae,attalea,attalea eichleri,15,12,1989,349
878128,Arecaceae,attalea,attalea eichleri,15,12,1989,349
878101,Arecaceae,attalea,attalea eichleri,15,12,1989,349
246900,Arecaceae,attalea,attalea eichleri,16,8,2012,229
246899,Arecaceae,attalea,attalea eichleri,16,8,2012,229
878129,Arecaceae,attalea,attalea eichleri,15,12,1989,349
878125,Arecaceae,attalea,attalea eichleri,21,11,1984,326
878127,Arecaceae,attalea,attalea eichleri,15,12,1989,349
1137580,Arecaceae,attalea,attalea eichleri,20,2,1980,51
878100,Arecaceae,attalea,attalea eichleri,15,12,1989,349
2326846,Arecaceae,attalea,attalea eichleri,13,4,1998,103
,Arecaceae,attalea,attalea eichleri,14,12,1994,348
878099,Arecaceae,attalea,attalea eichleri,15,12,1989,349
2326843,Arecaceae,attalea,attalea eichleri,18,7,1892,200
101268677,Arecaceae,attalea,attalea eichleri,22,8,1895,234
2326840,Arecaceae,attalea,attalea eichleri,18,7,1892,200
2326842,Arecaceae,attalea,attalea eichleri,18,7,1892,200
101268675,Arecaceae,attalea,attalea eichleri,22,9,1844,266
p00118496,Arecaceae,attalea,attalea eichleri,28,9,1844,272
2326841,Arecaceae,attalea,attalea eichleri,18,7,1892,200
2326839,Arecaceae,attalea,attalea eichleri,18,7,1892,200
p00118497,Arecaceae,attalea,attalea eichleri,28,9,1844,272
14154,Arecaceae,attalea,attalea eichleri,15,12,1989,349
49935,Arecaceae,attalea,attalea eichleri,13,9,2003,256
152446,Arecaceae,attalea,attalea eichleri,27,2,2010,58
29524,Arecaceae,attalea,attalea eichleri,30,5,1973,150
206340,Arecaceae,attalea,attalea eichleri,17,7,2012,199
1256,Arecaceae,attalea,attalea eichleri,29,10,1988,303
37580,Arecaceae,attalea,attalea eichleri,21,8,1987,233
199736,Arecaceae,attalea,attalea eichleri,31,7,2002,212
13759,Arecaceae,attalea,attalea eichleri,15,1,2014,15
44645,Arecaceae,attalea,attalea eichleri,29,10,1988,303
9781,Arecaceae,attalea,attalea eichleri,25,4,2001,115
16848,Arecaceae,attalea,attalea eichleri,25,2,1998,56
35009,Arecaceae,attalea,attalea eichleri,26,3,2004,86
69906,Arecaceae,attalea,attalea eichleri,26,10,1955,299
214553,Arecaceae,attalea,attalea eichleri,21,8,2015,233
,Arecaceae,attalea,attalea eichleri,29,10,1988,303
2221409,Arecaceae,attalea,attalea eichleri,30,7,1949,211
201740,Arecaceae,attalea,attalea eichleri,31,7,2002,212
3487368,Arecaceae,attalea,attalea eichleri,29,10,1988,303
220766,Arecaceae,attalea,attalea eichleri,18,9,2014,261
8469,Arecaceae,attalea,attalea eichleri,20,8,1994,232
140842,Arecaceae,attalea,attalea eichleri,26,1,2000,26
68382,Arecaceae,attalea,attalea eichleri,21,1,2008,21
164024,Arecaceae,attalea,attalea eichleri,14,6,1993,165
11597,Arecaceae,attalea,attalea eichleri,30,7,1949,211
14153,Arecaceae,attalea,attalea eichleri,15,12,1989,349
58016,Arecaceae,attalea,attalea eichleri,15,4,2001,105
3487369,Arecaceae,attalea,attalea eichleri,29,10,1988,303
10752,Arecaceae,attalea,attalea eichleri,28,5,1985,148
545,Arecaceae,attalea,attalea eichleri,23,9,1988,267
42191,Arecaceae,attalea,attalea eichleri,19,4,2001,109
37582,Arecaceae,attalea,attalea eichleri,21,8,1987,233
52073,Arecaceae,attalea,attalea eichleri,16,6,2002,167
66458,Arecaceae,attalea,attalea eichleri,18,2,2005,49
52074,Arecaceae,attalea,attalea eichleri,16,6,2002,167
14155,Arecaceae,attalea,attalea eichleri,15,12,1989,349
87949,Arecaceae,attalea,attalea eichleri,24,11,2014,328
4745,Arecaceae,attalea,attalea eichleri,20,9,1967,263
rb00789335,Arecaceae,attalea,attalea eichleri,9,2,1986,40
,Arecaceae,attalea,attalea eichleri,0,0,1839,334
131524,Arecaceae,attalea,attalea eichleri,11,4,2007,101
878126,Arecaceae,attalea,attalea eichleri,6,12,1988,341
,Arecaceae,attalea,attalea eichleri,8,8,1844,221
859156,Arecaceae,attalea,attalea eichleri,6,12,1988,341
2326845,Arecaceae,attalea,attalea eichleri,2,12,1981,336
884523,Arecaceae,attalea,attalea eichleri,6,2,1986,37
112144,Arecaceae,attalea,attalea eichleri,1,12,1981,335
220310,Arecaceae,attalea,attalea eichleri,6,12,1988,341
,Arecaceae,attalea,attalea eichleri,8,8,1844,221
878112,Arecaceae,attalea,attalea eichleri,10,12,1988,345
878116,Arecaceae,attalea,attalea eichleri,6,9,1983,249
,Arecaceae,attalea,attalea eichleri,8,8,1844,221
878115,Arecaceae,attalea,attalea eichleri,8,9,1983,251
878117,Arecaceae,attalea,attalea eichleri,1,12,1982,335
2326844,Arecaceae,attalea,attalea eichleri,2,12,1981,336
878114,Arecaceae,attalea,attalea eichleri,8,9,1983,251
112148,Arecaceae,attalea,attalea eichleri,2,12,1981,336
210594,Arecaceae,attalea,attalea eichleri,9,8,1983,221
170031,Arecaceae,attalea,attalea eichleri,10,12,1988,345
112146,Arecaceae,attalea,attalea eichleri,2,12,1981,336
29567,Arecaceae,attalea,attalea eichleri,10,9,2013,253
249550,Arecaceae,attalea,attalea eichleri,2,6,1986,153
57828,Arecaceae,attalea,attalea eichleri,2,6,1986,153
878113,Arecaceae,attalea,attalea eichleri,10,9,1983,253
rb00631323,Arecaceae,attalea,attalea eichleri,2,6,1986,153
191350,Arecaceae,attalea,attalea eichleri,8,6,2012,160
878111,Arecaceae,attalea,attalea eichleri,10,9,1983,253
11870,Arecaceae,attalea,attalea eichleri,2,2,2010,33
249550a,Arecaceae,attalea,attalea eichleri,2,6,1986,153
214963,Arecaceae,attalea,attalea eichleri,9,8,1983,221
2520175,Arecaceae,attalea,attalea eichleri,1,9,2003,244
rb00631321,Arecaceae,attalea,attalea eichleri,10,1,1952,10
45422,Arecaceae,attalea,attalea eichleri,4,2,2000,35
34520,Arecaceae,attalea,attalea eichleri,8,10,1997,281
210592,Arecaceae,attalea,attalea eichleri,9,10,1983,282
220764,Arecaceae,attalea,attalea eichleri,2,1,2015,2
7427,Arecaceae,attalea,attalea eichleri,12,2,1981,43
4931,Arecaceae,attalea,attalea eichleri,4,7,2017,185
34624,Arecaceae,attalea,attalea eichleri,9,8,1983,221
17436,Arecaceae,attalea,attalea eichleri,7,6,1992,159
51388,Arecaceae,attalea,attalea eichleri,7,6,2002,158
12465,Arecaceae,attalea,attalea eichleri,12,10,1988,286
87941,Arecaceae,attalea,attalea eichleri,12,10,2014,285
7425,Arecaceae,attalea,attalea eichleri,12,1,1982,12
34626,Arecaceae,attalea,attalea eichleri,9,10,1983,282
7429,Arecaceae,attalea,attalea eichleri,12,2,1981,43
87934,Arecaceae,attalea,attalea eichleri,12,11,2014,316
p00118499,Arecaceae,attalea,attalea eichleri,1,8,1898,213
34625,Arecaceae,attalea,attalea eichleri,9,8,1983,221
13675,Arecaceae,attalea,attalea eichleri,2,6,1986,153
34623,Arecaceae,attalea,attalea eichleri,9,6,1983,160
5641,Arecaceae,attalea,attalea eichleri,2,6,1986,153
34627,Arecaceae,attalea,attalea eichleri,9,8,1983,221
7428,Arecaceae,attalea,attalea eichleri,12,2,1981,43
34628,Arecaceae,attalea,attalea eichleri,12,2,1981,43
87939,Arecaceae,attalea,attalea eichleri,12,8,2014,224
36771,Arecaceae,attalea,attalea eichleri,1,12,2018,335
87933,Arecaceae,attalea,attalea eichleri,12,8,2014,224
p00118498,Arecaceae,attalea,attalea eichleri,1,8,1898,213
62744,Arecaceae,attalea,attalea eichleri,6,8,2006,218
2595558,Arecaceae,bactris,bactris chaveziae,22,10,2009,295
,Arecaceae,bactris,bactris chaveziae,18,12,1988,353
756160,Arecaceae,bactris,bactris chaveziae,31,8,1998,243
2384987,Arecaceae,bactris,bactris chaveziae,17,6,1982,168
2384986,Arecaceae,bactris,bactris chaveziae,16,7,1990,197
291793,Arecaceae,bactris,bactris chaveziae,21,2,1984,52
2520059,Arecaceae,bactris,bactris chaveziae,16,7,1990,197
100934790,Arecaceae,bactris,bactris chaveziae,22,10,2009,295
2520063,Arecaceae,bactris,bactris chaveziae,16,7,1976,198
100934762,Arecaceae,bactris,bactris chaveziae,16,10,2009,289
232815,Arecaceae,bactris,bactris chaveziae,22,10,2009,295
232814,Arecaceae,bactris,bactris chaveziae,16,10,2009,289
755504,Arecaceae,bactris,bactris chaveziae,9,9,1998,252
172921,Arecaceae,bactris,bactris chaveziae,9,2,1992,40
755438,Arecaceae,bactris,bactris chaveziae,6,4,1994,96
755503,Arecaceae,bactris,bactris chaveziae,9,9,1998,252
755437,Arecaceae,bactris,bactris chaveziae,12,3,1992,72
755436,Arecaceae,bactris,bactris chaveziae,12,3,1992,72
755439,Arecaceae,bactris,bactris chaveziae,6,4,1994,96
2384993,Arecaceae,bactris,bactris chaveziae,6,9,1992,250
755435,Arecaceae,bactris,bactris chaveziae,12,3,1992,72
2384988,Arecaceae,bactris,bactris chaveziae,8,11,2003,312
755496,Arecaceae,bactris,bactris chaveziae,8,9,1998,251
2384995,Arecaceae,bactris,bactris chaveziae,8,8,1982,220
755434,Arecaceae,bactris,bactris chaveziae,8,2,1992,39
2384994,Arecaceae,bactris,bactris chaveziae,6,9,1992,250
172907,Arecaceae,bactris,bactris chaveziae,8,2,1992,39
,Arecaceae,bactris,bactris chaveziae,4,10,1986,277
2384985,Arecaceae,bactris,bactris chaveziae,1,11,2009,305
755433,Arecaceae,bactris,bactris chaveziae,9,2,1992,40
381136,Arecaceae,bactris,bactris chaveziae,7,11,1990,311
2361823,Arecaceae,bactris,bactris chaveziae,12,3,2004,72
2520047,Arecaceae,bactris,bactris chaveziae,8,8,1992,221
,Rubiaceae,calycophyllum,calycophyllum spruceanum,28,6,1989,179
v0355030f,Rubiaceae,calycophyllum,calycophyllum spruceanum,24,7,1976,206
v0355026f,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,11,1940,331
v0486723f,Rubiaceae,calycophyllum,calycophyllum spruceanum,25,4,1984,116
v0486727f,Rubiaceae,calycophyllum,calycophyllum spruceanum,13,5,1983,133
,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,7,1984,202
,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,2,1977,47
396495,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,7,1991,202
,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,2,1977,49
,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,2,1977,47
rb00335323,Rubiaceae,calycophyllum,calycophyllum spruceanum,30,10,1957,303
v0355029f,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,12,1932,350
159154,Rubiaceae,calycophyllum,calycophyllum spruceanum,31,7,1989,212
90849,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,2,1977,49
u  0291650,Rubiaceae,calycophyllum,calycophyllum spruceanum,31,1,1961,31
159153,Rubiaceae,calycophyllum,calycophyllum spruceanum,31,7,1989,212
v0486726f,Rubiaceae,calycophyllum,calycophyllum spruceanum,17,8,1974,229
v0486724f,Rubiaceae,calycophyllum,calycophyllum spruceanum,28,4,2002,118
v/087485,Rubiaceae,calycophyllum,calycophyllum spruceanum,24,6,1962,175
v0355027f,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,6,1981,166
v0355028f,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,3,1981,74
u.1554948,Rubiaceae,calycophyllum,calycophyllum spruceanum,24,7,1951,205
396494,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,8,1994,232
1060671,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,2,1977,47
306361,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,4,1998,109
1060672,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,2,1977,49
396492,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,6,1918,171
1039365,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,7,2008,208
540838,Rubiaceae,calycophyllum,calycophyllum spruceanum,23,3,1998,82
305963,Rubiaceae,calycophyllum,calycophyllum spruceanum,14,3,1998,73
u.1554905,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,3,1992,86
no0007999,Rubiaceae,calycophyllum,calycophyllum spruceanum,28,1,1932,28
24262,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,9,1968,265
158701,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,5,1980,141
74339,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,5,1977,146
159151,Rubiaceae,calycophyllum,calycophyllum spruceanum,27,7,1989,208
218673,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,3,2004,81
149700,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,4,1987,106
17094,Rubiaceae,calycophyllum,calycophyllum spruceanum,22,4,1966,112
259753,Rubiaceae,calycophyllum,calycophyllum spruceanum,27,4,2012,118
159152,Rubiaceae,calycophyllum,calycophyllum spruceanum,28,7,1989,209
182139,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,3,1992,78
130915,Rubiaceae,calycophyllum,calycophyllum spruceanum,25,7,1981,206
204260,Rubiaceae,calycophyllum,calycophyllum spruceanum,30,8,2000,243
no0007993,Rubiaceae,calycophyllum,calycophyllum spruceanum,14,5,1975,134
no0007992,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,3,1974,85
rb01363992,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,6,2007,171
709692,Rubiaceae,calycophyllum,calycophyllum spruceanum,23,9,1968,267
17099,Rubiaceae,calycophyllum,calycophyllum spruceanum,23,4,1966,113
67737,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,2,1977,47
174714,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,3,1993,85
rb00579844,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,3,2003,74
u.1554904,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,6,1927,167
u.1554947,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,6,1959,171
rb00771503,Rubiaceae,calycophyllum,calycophyllum spruceanum,28,10,1935,301
u.1554953,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,9,1968,265
u.1554952,Rubiaceae,calycophyllum,calycophyllum spruceanum,27,9,1953,270
u.1554906,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,8,1991,227
no0007986,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,12,1980,350
s15/31073,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,3,2004,81
112027,Rubiaceae,calycophyllum,calycophyllum spruceanum,27,4,1980,118
253827,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,6,2013,169
12350,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,1,1956,18
234331,Rubiaceae,calycophyllum,calycophyllum spruceanum,31,5,2007,151
159150,Rubiaceae,calycophyllum,calycophyllum spruceanum,27,7,1989,208
v0355031f,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,9,1968,265
u.1554943,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,2,1977,47
v0486725f,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,7,1988,197
,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,9,1968,265
710164,Rubiaceae,calycophyllum,calycophyllum spruceanum,25,3,1999,84
u.1554908,Rubiaceae,calycophyllum,calycophyllum spruceanum,31,8,1982,243
u.1554946,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,6,1959,171
u.1554944,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,2,1977,49
u.1554903,Rubiaceae,calycophyllum,calycophyllum spruceanum,28,1,1932,28
709708,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,3,1992,78
1060670,Rubiaceae,calycophyllum,calycophyllum spruceanum,25,7,1981,206
u.1554958,Rubiaceae,calycophyllum,calycophyllum spruceanum,31,10,1968,305
u.1554910,Rubiaceae,calycophyllum,calycophyllum spruceanum,13,2,1980,44
u.1554909,Rubiaceae,calycophyllum,calycophyllum spruceanum,13,9,1980,257
u.1554907,Rubiaceae,calycophyllum,calycophyllum spruceanum,31,8,1974,243
wag.1553632,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,4,1972,106
cm296944,Rubiaceae,calycophyllum,calycophyllum spruceanum,25,7,1981,206
rb01100596,Rubiaceae,calycophyllum,calycophyllum spruceanum,28,6,1989,179
rb00644214,Rubiaceae,calycophyllum,calycophyllum spruceanum,25,3,2011,84
rb00714577,Rubiaceae,calycophyllum,calycophyllum spruceanum,30,3,2011,89
barcode/00092440,Rubiaceae,calycophyllum,calycophyllum spruceanum,22,7,1850,203
rb00756081,Rubiaceae,calycophyllum,calycophyllum spruceanum,24,2,2010,55
rb00767049,Rubiaceae,calycophyllum,calycophyllum spruceanum,25,5,2011,145
396496,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,4,1994,109
barcode/00589986,Rubiaceae,calycophyllum,calycophyllum spruceanum,22,7,1850,203
rb00335327,Rubiaceae,calycophyllum,calycophyllum spruceanum,13,5,1941,133
p03831966,Rubiaceae,calycophyllum,calycophyllum spruceanum,22,7,1850,203
rb00830897,Rubiaceae,calycophyllum,calycophyllum spruceanum,27,4,2012,118
rb01141890,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,7,2014,199
rb01364007,Rubiaceae,calycophyllum,calycophyllum spruceanum,22,6,1997,173
rb01363988,Rubiaceae,calycophyllum,calycophyllum spruceanum,22,6,1997,173
p01900502,Rubiaceae,calycophyllum,calycophyllum spruceanum,28,7,1850,209
rb00335341,Rubiaceae,calycophyllum,calycophyllum spruceanum,23,2,1992,54
rb00823660,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,6,2013,166
rb00656726,Rubiaceae,calycophyllum,calycophyllum spruceanum,17,3,2011,76
rb00335355,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,8,1991,230
rb00543491,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,7,1850,199
rb00335358,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,2,1962,49
366116,Rubiaceae,calycophyllum,calycophyllum spruceanum,14,7,1982,195
rb00335387,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,10,1930,292
rb00560084,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,7,1850,199
rb00335334,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,3,1991,77
rb00335320,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,10,1919,291
737262,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,2,1993,52
rb00582023,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,7,2008,208
127395,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,11,1975,319
rb00335939,Rubiaceae,calycophyllum,calycophyllum spruceanum,14,5,1975,134
rb00335384,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,6,1962,171
2745700,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,4,1972,106
2785474,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,2,1970,50
3311207,Rubiaceae,calycophyllum,calycophyllum spruceanum,14,5,1995,134
100911056,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,6,2013,166
3422628,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,5,2002,135
2499475,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,5,1962,140
3033693,Rubiaceae,calycophyllum,calycophyllum spruceanum,14,7,1982,195
2567639,Rubiaceae,calycophyllum,calycophyllum spruceanum,24,6,1962,175
2567870,Rubiaceae,calycophyllum,calycophyllum spruceanum,13,4,1963,103
2888649,Rubiaceae,calycophyllum,calycophyllum spruceanum,17,8,1974,229
1544465,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,6,1918,171
3011788,Rubiaceae,calycophyllum,calycophyllum spruceanum,24,9,1982,267
2890000,Rubiaceae,calycophyllum,calycophyllum spruceanum,31,1,1968,31
2597131,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,9,1968,265
100761760,Rubiaceae,calycophyllum,calycophyllum spruceanum,14,6,2011,165
13598,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,4,1972,106
2248467,Rubiaceae,calycophyllum,calycophyllum spruceanum,24,7,1951,205
3376252,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,4,1994,109
525356,Rubiaceae,calycophyllum,calycophyllum spruceanum,14,11,1979,318
7730,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,10,1961,292
11377,Rubiaceae,calycophyllum,calycophyllum spruceanum,23,3,1998,82
13843,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,7,1989,207
101221194,Rubiaceae,calycophyllum,calycophyllum spruceanum,27,3,2000,87
100934245,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,6,2015,170
100911071,Rubiaceae,calycophyllum,calycophyllum spruceanum,30,3,2011,89
3090984,Rubiaceae,calycophyllum,calycophyllum spruceanum,23,3,1998,82
10994,Rubiaceae,calycophyllum,calycophyllum spruceanum,17,6,1993,168
396640,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,3,2003,74
519209,Rubiaceae,calycophyllum,calycophyllum spruceanum,17,3,1984,77
3090662,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,5,1978,136
3091297,Rubiaceae,calycophyllum,calycophyllum spruceanum,24,9,1982,267
3098084,Rubiaceae,calycophyllum,calycophyllum spruceanum,18,3,1992,78
509388,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,6,1990,167
3093079,Rubiaceae,calycophyllum,calycophyllum spruceanum,20,6,1918,171
3092214,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,5,1990,136
3091315,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,3,1976,75
532660,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,3,1980,79
2738048,Rubiaceae,calycophyllum,calycophyllum spruceanum,16,6,1927,167
531717,Rubiaceae,calycophyllum,calycophyllum spruceanum,28,6,1991,179
3090999,Rubiaceae,calycophyllum,calycophyllum spruceanum,25,1,1974,25
518296,Rubiaceae,calycophyllum,calycophyllum spruceanum,13,5,1983,133
520398,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,2,1993,52
3096997,Rubiaceae,calycophyllum,calycophyllum spruceanum,22,6,1966,173
1416351,Rubiaceae,calycophyllum,calycophyllum spruceanum,13,5,1983,133
1925223,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,11,2002,330
2499396,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,2,1963,46
3092890,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,6,1972,171
3093713,Rubiaceae,calycophyllum,calycophyllum spruceanum,17,7,2002,198
2382841,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,3,2004,79
541934,Rubiaceae,calycophyllum,calycophyllum spruceanum,14,5,1984,135
3094462,Rubiaceae,calycophyllum,calycophyllum spruceanum,31,3,1992,91
3093934,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,2,1972,52
3091555,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,8,1948,234
1324093,Rubiaceae,calycophyllum,calycophyllum spruceanum,25,4,1999,115
2499401,Rubiaceae,calycophyllum,calycophyllum spruceanum,13,4,1962,103
3094122,Rubiaceae,calycophyllum,calycophyllum spruceanum,17,10,1987,290
537404,Rubiaceae,calycophyllum,calycophyllum spruceanum,23,1,1980,23
3091743,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,3,1991,78
1416317,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,11,1940,331
21992,Rubiaceae,calycophyllum,calycophyllum spruceanum,15,3,2003,74
509793,Rubiaceae,calycophyllum,calycophyllum spruceanum,17,7,1980,199
1523528,Rubiaceae,calycophyllum,calycophyllum spruceanum,21,7,1991,202
3093789,Rubiaceae,calycophyllum,calycophyllum spruceanum,26,3,1974,85
1303503,Rubiaceae,calycophyllum,calycophyllum spruceanum,19,4,1994,109
538232,Rubiaceae,calycophyllum,calycophyllum spruceanum,14,8,1983,226
