dwc:catalogNumber,dwc:datasetID,dwc:occurrenceID,dwc:genus,species,Day,Month,Year,Day of the year
p00646777,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646777,caryota,caryota mitis,28,7,1865,209
p00646776,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646776,caryota,caryota mitis,28,7,1865,209
p00646775,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646775,caryota,caryota mitis,28,7,1865,209
p00646777,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646777,caryota,caryota mitis,28,7,1865,209
p00646776,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646776,caryota,caryota mitis,28,7,1865,209
p00646944,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646944,caryota,caryota mitis,18,3,1867,77
p00646944,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646944,caryota,caryota mitis,18,3,1867,77
p00646943,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646943,caryota,caryota mitis,21,3,1867,80
p00646943,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646943,caryota,caryota mitis,21,3,1867,80
p00646953,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646953,caryota,caryota mitis,22,4,1867,112
p00646953,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646953,caryota,caryota mitis,22,4,1867,112
p00646954,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646954,caryota,caryota mitis,28,7,1867,209
p00646954,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646954,caryota,caryota mitis,28,7,1867,209
p00646931,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646931,caryota,caryota mitis,21,6,1868,173
p00646931,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646931,caryota,caryota mitis,21,6,1868,173
p00646924,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646924,caryota,caryota mitis,22,4,1871,112
p00646924,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646924,caryota,caryota mitis,22,4,1871,112
p01699183,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01699183,caryota,caryota mitis,26,3,1881,85
p01699183,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01699183,caryota,caryota mitis,26,3,1881,85
p00646920,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646920,caryota,caryota mitis,26,3,1881,85
p00646922,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646922,caryota,caryota mitis,26,3,1881,85
p00646920,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646920,caryota,caryota mitis,26,3,1881,85
p00646922,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646922,caryota,caryota mitis,26,3,1881,85
p00646939,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646939,caryota,caryota mitis,21,5,1885,141
p00646938,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646938,caryota,caryota mitis,21,5,1885,141
p00646939,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646939,caryota,caryota mitis,21,5,1885,141
p00646938,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646938,caryota,caryota mitis,21,5,1885,141
p00646958,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646958,caryota,caryota mitis,17,3,1923,76
p00646958,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646958,caryota,caryota mitis,17,3,1923,76
p00646934,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646934,caryota,caryota mitis,29,3,1923,88
p00646932,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646932,caryota,caryota mitis,29,3,1923,88
p00646933,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646933,caryota,caryota mitis,29,3,1923,88
p00646934,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646934,caryota,caryota mitis,29,3,1923,88
p00646932,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646932,caryota,caryota mitis,29,3,1923,88
p00646933,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646933,caryota,caryota mitis,29,3,1923,88
p00646941,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646941,caryota,caryota mitis,30,11,1925,334
p00646941,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646941,caryota,caryota mitis,30,11,1925,334
p00646771,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646771,caryota,caryota mitis,22,5,1932,143
p00646771,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646771,caryota,caryota mitis,22,5,1932,143
p00646918,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646918,caryota,caryota mitis,14,1,1934,14
p00646918,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646918,caryota,caryota mitis,14,1,1934,14
p00646951,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646951,caryota,caryota mitis,29,1,1934,29
p00646951,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646951,caryota,caryota mitis,29,1,1934,29
p02145626,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02145626,caryota,caryota mitis,15,10,1937,288
p02145628,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02145628,caryota,caryota mitis,15,10,1937,288
p02145627,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02145627,caryota,caryota mitis,15,10,1937,288
p02145626,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02145626,caryota,caryota mitis,15,10,1937,288
p02145628,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02145628,caryota,caryota mitis,15,10,1937,288
p02145627,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02145627,caryota,caryota mitis,15,10,1937,288
p00646852,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646852,caryota,caryota mitis,18,6,1965,169
p00646852,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646852,caryota,caryota mitis,18,6,1965,169
p00646908,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646908,caryota,caryota mitis,22,4,1967,112
p00646908,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646908,caryota,caryota mitis,22,4,1967,112
p00646912,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646912,caryota,caryota mitis,31,10,1969,304
p00646911,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646911,caryota,caryota mitis,31,10,1969,304
p00646912,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646912,caryota,caryota mitis,31,10,1969,304
p00646911,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646911,caryota,caryota mitis,31,10,1969,304
p00646921,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646921,caryota,caryota mitis,22,10,1970,295
p00646923,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646923,caryota,caryota mitis,22,10,1970,295
p00646919,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646919,caryota,caryota mitis,22,10,1970,295
p00646921,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646921,caryota,caryota mitis,22,10,1970,295
p00646923,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646923,caryota,caryota mitis,22,10,1970,295
p00646919,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646919,caryota,caryota mitis,22,10,1970,295
p00646904,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646904,caryota,caryota mitis,20,10,1971,293
p00646904,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646904,caryota,caryota mitis,20,10,1971,293
p00700209,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700209,caryota,caryota mitis,27,8,1986,239
p00700209,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700209,caryota,caryota mitis,27,8,1986,239
p00646960,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646960,caryota,caryota mitis,28,3,1933,87
p00646960,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646960,caryota,caryota mitis,28,3,1933,87
p00646945,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646945,caryota,caryota mitis,28,5,1927,148
p00646945,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646945,caryota,caryota mitis,28,5,1927,148
p01886414,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01886414,caryota,caryota mitis,1,1,1837,1
p01886414,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01886414,caryota,caryota mitis,1,1,1837,1
p00700236,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700236,caryota,caryota mitis,7,2,1842,38
p00700234,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700234,caryota,caryota mitis,7,2,1842,38
p00700233,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700233,caryota,caryota mitis,7,2,1842,38
p00700235,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700235,caryota,caryota mitis,7,2,1842,38
p00700232,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700232,caryota,caryota mitis,7,2,1842,38
p00700236,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700236,caryota,caryota mitis,7,2,1842,38
p00700234,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700234,caryota,caryota mitis,7,2,1842,38
p00700233,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700233,caryota,caryota mitis,7,2,1842,38
p00700235,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700235,caryota,caryota mitis,7,2,1842,38
p00700232,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700232,caryota,caryota mitis,7,2,1842,38
p00646766,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646766,caryota,caryota mitis,4,12,1889,338
p00646767,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646767,caryota,caryota mitis,4,12,1889,338
p00646766,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646766,caryota,caryota mitis,4,12,1889,338
p00646767,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646767,caryota,caryota mitis,4,12,1889,338
p02196575,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02196575,caryota,caryota mitis,1,5,1906,121
p02196575,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02196575,caryota,caryota mitis,1,5,1906,121
p00646946,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646946,caryota,caryota mitis,2,9,1919,245
p00646946,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646946,caryota,caryota mitis,2,9,1919,245
p00868328,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00868328,caryota,caryota mitis,10,2,1921,41
p00646928,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646928,caryota,caryota mitis,10,2,1921,41
p00646927,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646927,caryota,caryota mitis,10,2,1921,41
p00868328,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00868328,caryota,caryota mitis,10,2,1921,41
p00646928,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646928,caryota,caryota mitis,10,2,1921,41
p00646927,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646927,caryota,caryota mitis,10,2,1921,41
p00646769,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646769,caryota,caryota mitis,1,11,1921,305
p00646769,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646769,caryota,caryota mitis,1,11,1921,305
p00646854,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646854,caryota,caryota mitis,6,5,1923,126
p00646855,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646855,caryota,caryota mitis,6,5,1923,126
p00646854,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646854,caryota,caryota mitis,6,5,1923,126
p00646855,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646855,caryota,caryota mitis,6,5,1923,126
p00646770,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646770,caryota,caryota mitis,4,9,1932,248
p00646770,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646770,caryota,caryota mitis,4,9,1932,248
p00646826,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646826,caryota,caryota mitis,10,9,1936,254
p00646826,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646826,caryota,caryota mitis,10,9,1936,254
p00646902,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646902,caryota,caryota mitis,2,8,1966,214
p00646902,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646902,caryota,caryota mitis,2,8,1966,214
p00646758,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646758,caryota,caryota mitis,8,1,1986,8
p00646759,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646759,caryota,caryota mitis,8,1,1986,8
p00646760,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646760,caryota,caryota mitis,8,1,1986,8
p00646758,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646758,caryota,caryota mitis,8,1,1986,8
p00646759,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646759,caryota,caryota mitis,8,1,1986,8
p00646760,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646760,caryota,caryota mitis,8,1,1986,8
p00700210,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700210,caryota,caryota mitis,3,7,1991,184
p00700210,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00700210,caryota,caryota mitis,3,7,1991,184
p01796158,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01796158,caryota,caryota monostachya ,22,7,1886,203
p01796160,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01796160,caryota,caryota monostachya ,22,7,1886,203
p01796159,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01796159,caryota,caryota monostachya ,22,7,1886,203
p01796158,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01796158,caryota,caryota monostachya ,22,7,1886,203
p01796160,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01796160,caryota,caryota monostachya ,22,7,1886,203
p01796159,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p01796159,caryota,caryota monostachya ,22,7,1886,203
p00649908,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649908,caryota,caryota monostachya ,22,7,1886,203
p00649901,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649901,caryota,caryota monostachya ,22,7,1886,203
p00649904,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649904,caryota,caryota monostachya ,22,7,1886,203
p00649907,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649907,caryota,caryota monostachya ,22,7,1886,203
p00649908,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649908,caryota,caryota monostachya ,22,7,1886,203
p00649901,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649901,caryota,caryota monostachya ,22,7,1886,203
p00649904,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649904,caryota,caryota monostachya ,22,7,1886,203
p00649907,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649907,caryota,caryota monostachya ,22,7,1886,203
1085385,7ddf754f-d193-4cc9-b351-99906754a03b,087c28e0-24a7-445a-ad3d-ee9ecd784460,caryota,caryota monostachya ,29,1,1892,29
p00725497,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00725497,caryota,caryota monostachya ,29,1,1892,29
p00601769,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00601769,caryota,caryota monostachya ,29,1,1892,29
p00601770,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00601770,caryota,caryota monostachya ,29,1,1892,29
p00601771,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00601771,caryota,caryota monostachya ,29,1,1892,29
1085385,7ddf754f-d193-4cc9-b351-99906754a03b,087c28e0-24a7-445a-ad3d-ee9ecd784460,caryota,caryota monostachya ,29,1,1892,29
p00725497,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00725497,caryota,caryota monostachya ,29,1,1892,29
p00601769,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00601769,caryota,caryota monostachya ,29,1,1892,29
p00601770,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00601770,caryota,caryota monostachya ,29,1,1892,29
p00601771,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00601771,caryota,caryota monostachya ,29,1,1892,29
p00649918,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649918,caryota,caryota monostachya ,21,8,1905,233
p00649918,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649918,caryota,caryota monostachya ,21,8,1905,233
p00649917,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649917,caryota,caryota monostachya ,21,11,1905,325
p00649917,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649917,caryota,caryota monostachya ,21,11,1905,325
p00649912,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649912,caryota,caryota monostachya ,22,10,1911,295
p00649916,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649916,caryota,caryota monostachya ,22,10,1911,295
p00649915,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649915,caryota,caryota monostachya ,22,10,1911,295
p00649914,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649914,caryota,caryota monostachya ,22,10,1911,295
p00649913,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649913,caryota,caryota monostachya ,22,10,1911,295
p00649912,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649912,caryota,caryota monostachya ,22,10,1911,295
p00649916,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649916,caryota,caryota monostachya ,22,10,1911,295
p00649915,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649915,caryota,caryota monostachya ,22,10,1911,295
p00649914,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649914,caryota,caryota monostachya ,22,10,1911,295
p00649913,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649913,caryota,caryota monostachya ,22,10,1911,295
p00649911,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649911,caryota,caryota monostachya ,21,4,1914,111
p00649911,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649911,caryota,caryota monostachya ,21,4,1914,111
p00615160,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00615160,caryota,caryota monostachya ,14,5,1914,134
p00615160,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00615160,caryota,caryota monostachya ,14,5,1914,134
p00649909,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649909,caryota,caryota monostachya ,17,2,1931,48
p00649909,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649909,caryota,caryota monostachya ,17,2,1931,48
p00646779,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646779,caryota,caryota monostachya ,14,6,1933,165
p00646779,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00646779,caryota,caryota monostachya ,14,6,1933,165
p00649910,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649910,caryota,caryota monostachya ,30,1,1936,30
p00649910,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649910,caryota,caryota monostachya ,30,1,1936,30
2322832,7ddf754f-d193-4cc9-b351-99906754a03b,68947017-4443-49db-afb4-b3f3ba2e95fc,caryota,caryota monostachya ,13,6,1956,165
2322832,7ddf754f-d193-4cc9-b351-99906754a03b,68947017-4443-49db-afb4-b3f3ba2e95fc,caryota,caryota monostachya ,13,6,1956,165
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/59885.000,caryota,caryota monostachya ,28,8,1994,240
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/59885.000,caryota,caryota monostachya ,28,8,1994,240
