dwc:catalogNumber,dwc:datasetID,dwc:occurrenceID,dwc:genus,species,Day,Month,Year,Day of the year
l.1992612,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1992612,alysicarpus,alysicarpus vaginalis (l.) dc.,21,9,1956,265
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000858932,alysicarpus,alysicarpus vaginalis (l.) dc.,1,1,1852,1
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000858932,alysicarpus,alysicarpus vaginalis (l.) dc.,1,1,1852,1
l.1685334,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1685334,amaranthus,amaranthus polygamus l.,17,1,1924,17
l.1685334,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1685334,amaranthus,amaranthus polygamus l.,17,1,1924,17
l.2478313,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.2478313,ammannia,ammannia baccifera l.,12,11,1962,316
l.2478313,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.2478313,ammannia,ammannia baccifera l.,12,11,1962,316
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000185852,andrachne,andrachne telephioides l.,14,2,1959,45
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000185852,andrachne,andrachne telephioides l.,14,2,1959,45
u.1055187,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1055187,andrographis,andrographis echioides,27,8,1964,240
u.1055187,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1055187,andrographis,andrographis echioides,27,8,1964,240
136059,7ddf754f-d193-4cc9-b351-99906754a03b,90fbadae-e5fb-46f8-8a35-ec906c55e1c0,andrographis,andrographis echioides,28,9,1960,272
136059,7ddf754f-d193-4cc9-b351-99906754a03b,90fbadae-e5fb-46f8-8a35-ec906c55e1c0,andrographis,andrographis echioides,28,9,1960,272
gas021509,7ddf754f-d193-4cc9-b351-99906754a03b,51c11834-0f90-44db-8a84-99ff5a74e79e,andrographis,andrographis echioides,28,9,1963,271
gas021509,7ddf754f-d193-4cc9-b351-99906754a03b,51c11834-0f90-44db-8a84-99ff5a74e79e,andrographis,andrographis echioides,28,9,1963,271
,7ddf754f-d193-4cc9-b351-99906754a03b,http://herbarium.bgbm.org/object/b100460735,andrographis,andrographis echioides,12,9,1956,256
,7ddf754f-d193-4cc9-b351-99906754a03b,http://herbarium.bgbm.org/object/b100460735,andrographis,andrographis echioides,12,9,1956,256
u.1055190,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1055190,andrographis,andrographis paniculata (burm.f.) nees,18,12,1964,353
u.1055190,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1055190,andrographis,andrographis paniculata (burm.f.) nees,18,12,1964,353
gas020494,7ddf754f-d193-4cc9-b351-99906754a03b,e8c2f1cc-e0b2-47f7-9a82-cc0391033d12,anisomeles,anisomeles indica,29,9,1963,272
gas020494,7ddf754f-d193-4cc9-b351-99906754a03b,e8c2f1cc-e0b2-47f7-9a82-cc0391033d12,anisomeles,anisomeles indica,29,9,1963,272
gas014389,7ddf754f-d193-4cc9-b351-99906754a03b,279cb86b-f5a1-40a6-8eda-ae9e3f81f8c7,anogeissus,anogeissus latifolia,28,9,1963,271
gas014389,7ddf754f-d193-4cc9-b351-99906754a03b,279cb86b-f5a1-40a6-8eda-ae9e3f81f8c7,anogeissus,anogeissus latifolia,28,9,1963,271
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000786667,anogeissus,anogeissus sericea brandis,1,4,1868,92
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000786667,anogeissus,anogeissus sericea brandis,1,4,1868,92
l.2183050,046bbc50-cae2-47ff-aa43-729fbf53f7c5,https://data.biodiversitydata.nl/naturalis/specimen/l.2183050,antidesma,antidesma ghaesembilla gaertn.,2,10,1947,275
l.2183050,046bbc50-cae2-47ff-aa43-729fbf53f7c5,https://data.biodiversitydata.nl/naturalis/specimen/l.2183050,antidesma,antidesma ghaesembilla gaertn.,2,10,1947,275
rb00770935,7ddf754f-d193-4cc9-b351-99906754a03b,urn:catalog:jbrj:rb:770935,caryota,arecaceae caryota,9,12,1995,343
rb00770935,7ddf754f-d193-4cc9-b351-99906754a03b,urn:catalog:jbrj:rb:770935,caryota,arecaceae caryota,9,12,1995,343
rb00770927,046bbc50-cae2-47ff-aa43-729fbf53f7c5,urn:catalog:jbrj:rb:770927,caryota,arecaceae caryota plumosa hort. ex voll & brade,9,7,1935,190
rb00770927,046bbc50-cae2-47ff-aa43-729fbf53f7c5,urn:catalog:jbrj:rb:770927,caryota,arecaceae caryota plumosa hort. ex voll & brade,9,7,1935,190
p02308486,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02308486,argemone,argemone mexicana l.,1,1,1890,1
p02308486,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02308486,argemone,argemone mexicana l.,1,1,1890,1
l.1820481,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1820481,argemone,argemone mexicana l. var. ochroleuca (sweet) lindl.,16,7,1964,198
l.1820481,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1820481,argemone,argemone mexicana l. var. ochroleuca (sweet) lindl.,16,7,1964,198
39266,,279e230e-ca5f-4e7e-bae1-edaaf503287a,argyreia,argyreia sericea,19,9,1956,263
39266,,279e230e-ca5f-4e7e-bae1-edaaf503287a,argyreia,argyreia sericea,19,9,1956,263
l.1213546,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1213546,aristida,aristida adscensionis l.,29,4,1964,120
l.1213546,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1213546,aristida,aristida adscensionis l.,29,4,1964,120
l.1214605,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1214605,aristida,aristida cumingiana trin. & rupr.,31,10,1970,304
l.1214605,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1214605,aristida,aristida cumingiana trin. & rupr.,31,10,1970,304
2977168,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/3e863c4fc-da06-4d13-ab1f-c8c6cb92d014,aristolochia,aristolochia bracteolata,15,7,1890,196
2977168,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/3e863c4fc-da06-4d13-ab1f-c8c6cb92d014,aristolochia,aristolochia bracteolata,15,7,1890,196
gas026960,,769f9409-037d-496f-a620-4f338662404f,,artemisia parviflora,29,9,1963,272
gas026960,,769f9409-037d-496f-a620-4f338662404f,,artemisia parviflora,29,9,1963,272
l.1447689,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1447689,asphodelus,asphodelus tenuifolius cav.,18,1,1964,18
u.1106557,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1106557,asphodelus,asphodelus tenuifolius cav.,18,1,1964,18
l.1447689,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1447689,asphodelus,asphodelus tenuifolius cav.,18,1,1964,18
u.1106557,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1106557,asphodelus,asphodelus tenuifolius cav.,18,1,1964,18
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/33445.000,balanophora,balanophora abbreviata bl.,1,1,1972,1
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/33445.000,balanophora,balanophora abbreviata bl.,1,1,1972,1
l  0474988,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l%20%200474988,barbula,barbula pseudo-ehrenbergii m.fleisch.,4,8,1984,217
l  0474988,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l%20%200474988,barbula,barbula pseudo-ehrenbergii m.fleisch.,4,8,1984,217
13266,,be2d5f32-55ff-40d2-9214-e41c9c7eb708,barleria,barleria cristata,29,12,1958,363
13266,,be2d5f32-55ff-40d2-9214-e41c9c7eb708,barleria,barleria cristata,29,12,1958,363
13092,7ddf754f-d193-4cc9-b351-99906754a03b,d2bc08f1-41b8-4637-8bf6-6964709a43e1,barleria,barleria prionitis,27,1,1959,27
13092,7ddf754f-d193-4cc9-b351-99906754a03b,d2bc08f1-41b8-4637-8bf6-6964709a43e1,barleria,barleria prionitis,27,1,1959,27
gas013181,7ddf754f-d193-4cc9-b351-99906754a03b,e85c07a8-aa80-42f1-b068-6ae681ed7afd,begonia,begonia picta,28,9,1963,271
gas013181,7ddf754f-d193-4cc9-b351-99906754a03b,e85c07a8-aa80-42f1-b068-6ae681ed7afd,begonia,begonia picta,28,9,1963,271
202822,7ddf754f-d193-4cc9-b351-99906754a03b,bra:usp:spf:202822,biophytum,biophytum,26,10,2010,299
202822,7ddf754f-d193-4cc9-b351-99906754a03b,bra:usp:spf:202822,biophytum,biophytum,26,10,2010,299
l.3976838,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.3976838,biophytum,biophytum nervifolium thwaites,18,1,1964,18
l.3976838,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.3976838,biophytum,biophytum nervifolium thwaites,18,1,1964,18
1606261,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/34b942994-419a-471d-a28e-f5d4a4753767,bischofia,bischofia javanica,5,3,1933,64
1606261,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/34b942994-419a-471d-a28e-f5d4a4753767,bischofia,bischofia javanica,5,3,1933,64
13251,7ddf754f-d193-4cc9-b351-99906754a03b,904af7ad-5a82-4699-8cf2-dc9c3e1f5be9,blepharis,blepharis boerhaviifolia,11,1,1959,11
13251,7ddf754f-d193-4cc9-b351-99906754a03b,904af7ad-5a82-4699-8cf2-dc9c3e1f5be9,blepharis,blepharis boerhaviifolia,11,1,1959,11
l.3019414,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.3019414,blumea,blumea fistulosa (roxb.) kurz,12,2,1963,43
l.3019414,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.3019414,blumea,blumea fistulosa (roxb.) kurz,12,2,1963,43
gas012130,7ddf754f-d193-4cc9-b351-99906754a03b,60466fc7-f5e0-40ad-9bc9-231e59e3f267,boehmeria,boehmeria macrophylla,2,10,1962,275
gas012130,7ddf754f-d193-4cc9-b351-99906754a03b,60466fc7-f5e0-40ad-9bc9-231e59e3f267,boehmeria,boehmeria macrophylla,2,10,1962,275
gas016759,7ddf754f-d193-4cc9-b351-99906754a03b,63325f5c-e492-4a25-8326-810876c62d6c,boerhavia,boerhavia diffusa,1,10,1962,274
gas016759,7ddf754f-d193-4cc9-b351-99906754a03b,63325f5c-e492-4a25-8326-810876c62d6c,boerhavia,boerhavia diffusa,1,10,1962,274
1606203,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/3d4970ee2-916b-4eab-8225-c9673fd7aa21,bombax,bombax ceiba,21,4,1933,111
1606203,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/3d4970ee2-916b-4eab-8225-c9673fd7aa21,bombax,bombax ceiba,21,4,1933,111
gas018568,,32b36c07-2697-42d0-9222-e75e3e3413a0,,borreria articularis,1,10,1962,274
gas018568,,32b36c07-2697-42d0-9222-e75e3e3413a0,,borreria articularis,1,10,1962,274
l.2194200,,https://data.biodiversitydata.nl/naturalis/specimen/l.2194200,bridelia,bridelia retusa (l.) a.juss.,23,10,1947,296
l.2194200,,https://data.biodiversitydata.nl/naturalis/specimen/l.2194200,bridelia,bridelia retusa (l.) a.juss.,23,10,1947,296
l.2194136,,https://data.biodiversitydata.nl/naturalis/specimen/l.2194136,bridelia,bridelia retusa (l.) a.juss.,2,10,1947,275
l.2194136,,https://data.biodiversitydata.nl/naturalis/specimen/l.2194136,bridelia,bridelia retusa (l.) a.juss.,2,10,1947,275
u.1070245,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1070245,buchanania,buchanania lanzan spreng.,19,7,1964,201
u.1070245,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1070245,buchanania,buchanania lanzan spreng.,19,7,1964,201
417986,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/344f7c2a5-b520-4e2c-9dbe-34d91cb400f7,bulbostylis,bulbostylis barbata,22,4,1900,113
417986,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/344f7c2a5-b520-4e2c-9dbe-34d91cb400f7,bulbostylis,bulbostylis barbata,22,4,1900,113
111035,7ddf754f-d193-4cc9-b351-99906754a03b,8d63be86-1422-46d9-aa85-6fe544a4cf49,bupleurum,bupleurum hamiltonii,15,9,1970,258
111035,7ddf754f-d193-4cc9-b351-99906754a03b,8d63be86-1422-46d9-aa85-6fe544a4cf49,bupleurum,bupleurum hamiltonii,15,9,1970,258
113524,7ddf754f-d193-4cc9-b351-99906754a03b,93154e6a-e9e5-48ef-b5ae-63f87d0039d0,bupleurum,bupleurum hamiltonii,15,10,1970,288
113524,7ddf754f-d193-4cc9-b351-99906754a03b,93154e6a-e9e5-48ef-b5ae-63f87d0039d0,bupleurum,bupleurum hamiltonii,15,10,1970,288
l.3021365,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.3021365,caesulia,caesulia axillaris roxb.,9,5,1964,130
l.3021365,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.3021365,caesulia,caesulia axillaris roxb.,9,5,1964,130
l.1976943,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1976943,cajanus,cajanus cajan (l.) millsp.,17,1,1964,17
l.1976943,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1976943,cajanus,cajanus cajan (l.) millsp.,17,1,1964,17
wag.1005951,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/wag.1005951,cajanus,cajanus cajanifolius (haines) maesen,27,3,1977,86
wag.1005947,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/wag.1005947,cajanus,cajanus cajanifolius (haines) maesen,27,3,1977,86
wag.1005946,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/wag.1005946,cajanus,cajanus cajanifolius (haines) maesen,27,3,1977,86
wag.1005951,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/wag.1005951,cajanus,cajanus cajanifolius (haines) maesen,27,3,1977,86
wag.1005947,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/wag.1005947,cajanus,cajanus cajanifolius (haines) maesen,27,3,1977,86
wag.1005946,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/wag.1005946,cajanus,cajanus cajanifolius (haines) maesen,27,3,1977,86
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000496726,cajanus,cajanus cajanifolius (haines) maesen,10,3,1981,69
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000496726,cajanus,cajanus cajanifolius (haines) maesen,10,3,1981,69
mel 0091775a,7ddf754f-d193-4cc9-b351-99906754a03b,a377de44-ab07-4995-9e42-118ff225a59b,cajanus,cajanus scarabaeoides (l.) thouars,22,11,1905,326
mel 0091775a,7ddf754f-d193-4cc9-b351-99906754a03b,a377de44-ab07-4995-9e42-118ff225a59b,cajanus,cajanus scarabaeoides (l.) thouars,22,11,1905,326
l  0474998,d9a4eedb-e985-4456-ad46-3df8472e00e8,https://data.biodiversitydata.nl/naturalis/specimen/l%20%200474998,calymperes,calymperes tortelloides broth. & dixon,22,7,1984,204
l  0474998,d9a4eedb-e985-4456-ad46-3df8472e00e8,https://data.biodiversitydata.nl/naturalis/specimen/l%20%200474998,calymperes,calymperes tortelloides broth. & dixon,22,7,1984,204
l.1229665,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1229665,capillipedium,capillipedium assimile (steud.) a.camus,30,10,1970,303
l.1229665,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1229665,capillipedium,capillipedium assimile (steud.) a.camus,30,10,1970,303
u.1591400,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1591400,cardiospermum,cardiospermum halicacabum l. var. microcarpum (kunth) blume,5,9,1964,249
u.1591400,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1591400,cardiospermum,cardiospermum halicacabum l. var. microcarpum (kunth) blume,5,9,1964,249
l.1411741,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411741,caryota,caryota aequatorialis ,20,4,1937,110
l.1411740,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1411740,caryota,caryota aequatorialis ,20,4,1937,110
