dwc:catalogNumber,dwc:occurrenceID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day of the year
104320,urn:catalog:mo:tropicos:104320,gentry 60101,abarema,abarema jupunba,29,12,1987,363
102279,urn:catalog:mo:tropicos:102279,palacios cuenca 1952,abarema,abarema jupunba,9,1,1987,9
102128,urn:catalog:mo:tropicos:102128,palacios cuenca 1899,abarema,abarema jupunba,9,1,1987,9
1299656,10207d0f-4481-4eb1-ae85-5448e42c48f6,1899,abarema,abarema jupunba,9,1,1987,9
1299658,80f3736a-2499-46df-a8f5-3ed61ef98519,1952,abarema,abarema jupunba,9,1,1987,9
3129064,http://n2t.net/ark:/65665/380cc39ee-6e1c-47b6-9192-dc405d642329,1952,abarema,abarema jupunba,9,1,1987,9
gb-94026,gb:general:gb-94026,1952,abarema,abarema jupunba,9,8,1987,221
3580667,urn:catalog:mo:tropicos:3580667,homeier 3810,abarema,abarema jupunba,4,9,2008,248
100571036,urn:catalog:mo:tropicos:100571036,neill 17256,abarema,abarema jupunba,10,4,2012,101
cm339239,2753d99b-7cee-4397-a504-c85894abe528,1952,abarema,abarema jupunba,1,9,1987,244
79657,urn:catalog:mo:tropicos:79657,cerón martínez 837,abarema,abarema laeta,17,1,1987,17
1299833,953b04df-241a-4a66-85ba-ea2b6779a91f,837,abarema,abarema laeta,17,1,1987,17
1085325,urn:catalog:mo:tropicos:1085325,holm-nielsen 20105,abarema,abarema laeta,29,8,1979,241
1299851,7df426d0-8e08-4dc8-80ed-10b8d97127e3,448,abarema,abarema laeta,8,5,1982,128
3579159,urn:catalog:mo:tropicos:3579159,homeier 2783,abarema,abarema pittier,10,10,2007,283
234810,532f515d-f27a-49d0-ac03-daf84a81b28b,15632,abelmoschus,abelmoschus moschatus moschatus,21,11,1994,325
882565,urn:catalog:mo:tropicos:882565,abbott 15632,abelmoschus,abelmoschus moschatus moschatus,21,11,1994,325
187499,urn:catalog:mo:tropicos:187499,miller 2260,abelmoschus,abelmoschus moschatus moschatus,28,6,1986,179
748100,urn:catalog:mo:tropicos:748100,palacios cuenca 4943,abuta,abuta fluminum,5,8,1990,217
88063,f5498455-4859-4cec-9a4b-4cca3a01bd34,220,abuta,abuta grandifolia,15,4,1993,105
3011922,urn:catalog:mo:tropicos:3011922,reyes 764,abuta,abuta grandifolia,15,2,2005,46
2894888,urn:catalog:mo:tropicos:2894888,carrillo 587,abuta,abuta grandifolia,15,2,2005,46
2895925,urn:catalog:mo:tropicos:2895925,carrillo 641,abuta,abuta grandifolia,22,2,2005,53
2890972,urn:catalog:mo:tropicos:2890972,miranda-moyano 502,abuta,abuta grandifolia,25,2,2005,56
748544,urn:catalog:mo:tropicos:748544,cerón martínez 1236,abuta,abuta grandifolia,24,4,1987,114
951780,urn:catalog:mo:tropicos:951780,gentry 21887,abuta,abuta grandifolia,15,5,1978,135
748610,urn:catalog:mo:tropicos:748610,cerón martínez 1441,abuta,abuta grandifolia,21,5,1987,141
749568,urn:catalog:mo:tropicos:749568,neill 7772,abuta,abuta grandifolia,26,7,1987,207
748699,urn:catalog:mo:tropicos:748699,cerón martínez 4714,abuta,abuta grandifolia,24,8,1988,237
748810,urn:catalog:mo:tropicos:748810,palacios cuenca 1675,abuta,abuta grandifolia,7,3,1987,66
748239,urn:catalog:mo:tropicos:748239,palacios cuenca 3277,abuta,abuta grandifolia,12,6,1988,164
1065921,urn:catalog:mo:tropicos:1065921,clark 1138,abuta,abuta grandifolia,6,11,1995,310
3404558,http://n2t.net/ark:/65665/38045d8a6-c648-43d5-8527-5a4f894ced5b,1138,abuta,abuta grandifolia,6,11,1995,310
100954523,urn:catalog:mo:tropicos:100954523,kennedy rk98-8-1-28,abuta,abuta grandifolia,8,10,1998,281
3015985,urn:catalog:mo:tropicos:3015985,reyes 957,abuta,abuta grandifolia,4,6,2005,155
2866441,urn:catalog:mo:tropicos:2866441,neill 15095,abuta,abuta grandifolia,1,1,2006,1
3042866,29be7c54-4bbe-483e-83ca-dcfba9e6651e,1138,abuta,abuta grandifolia,11,6,1995,162
748638,urn:catalog:mo:tropicos:748638,cerón martínez 6042,abuta,abuta hahnii,23,1,1989,23
1086886,urn:catalog:mo:tropicos:1086886,ortiz 196,abuta,abuta hahnii,29,6,1996,181
1224800,urn:catalog:mo:tropicos:1224800,zuleta 15,abuta,abuta hahnii,10,9,1992,254
749515,urn:catalog:mo:tropicos:749515,neill 7725,abuta,abuta rufescens,29,6,1987,180
101235705,urn:catalog:mo:tropicos:101235705,clark 9380,abuta,abuta rufescens,17,8,2005,229
748508,urn:catalog:mo:tropicos:748508,cerón martínez 2670,abuta,abuta rufescens,11,12,1987,345
,http://n2t.net/ark:/65665/3a206bbf3-2ad1-46f6-9af2-e9471fe4639e,9380,abuta,abuta sp.,17,8,2005,229
2647453,0aa003cb-e68b-44a2-b137-276e176d3c80,9380,abuta,abuta velutina,17,8,2005,229
s10-36576,s:vascularplants:s10-36576,1400,acacia,acacia glomerosa benth.,4,10,1986,277
190203,76dda105-0371-49de-85ed-2c83e1215326,15593,acacia,acacia hayesii,20,11,1994,324
83803,urn:catalog:mo:tropicos:83803,cerón martínez 5442,acacia,acacia hayesii benth.,22,10,1988,296
882527,urn:catalog:mo:tropicos:882527,abbott 15593,acacia,acacia mill.,20,11,1994,324
1086147,urn:catalog:mo:tropicos:1086147,madsen 84396,acacia,acacia mill.,8,8,1988,221
1086149,urn:catalog:mo:tropicos:1086149,madsen 84398,acacia,acacia mill.,8,8,1988,221
79895,urn:catalog:mo:tropicos:79895,cerón martínez 8844,acacia,acacia polyphylla dc.,22,2,1990,53
65946,urn:catalog:mo:tropicos:65946,holm-nielsen 6783,acaena,acaena elongata l.,6,5,1973,126
882498,urn:catalog:mo:tropicos:882498,abbott 15562,acalypha,acalypha brachiata,14,11,1994,318
882496,urn:catalog:mo:tropicos:882496,abbott 15560,acalypha,acalypha brachiata,14,11,1994,318
882535,urn:catalog:mo:tropicos:882535,abbott 15602,acalypha,acalypha brachiata,20,11,1994,324
2761657,urn:catalog:mo:tropicos:2761657,landrum 10777,acalypha,acalypha brachiata,22,6,2003,173
2761710,urn:catalog:mo:tropicos:2761710,landrum 10856,acalypha,acalypha brachiata,24,6,2003,175
2761709,urn:catalog:mo:tropicos:2761709,landrum 10844,acalypha,acalypha brachiata,24,6,2003,175
3907280,4a77d2a5-d434-443a-a249-c49f295da696,4695,acalypha,acalypha cuneata,24,8,1988,237
152318,urn:catalog:mo:tropicos:152318,cerón martínez 787,acalypha,acalypha cuneata,17,1,1987,17
155217,urn:catalog:mo:tropicos:155217,cerón martínez 695,acalypha,acalypha cuneata,17,1,1987,17
154940,urn:catalog:mo:tropicos:154940,cerón martínez 5424,acalypha,acalypha cuneata,22,10,1988,296
154450,urn:catalog:mo:tropicos:154450,cerón martínez 3711,acalypha,acalypha cuneata,17,2,1988,48
154304,urn:catalog:mo:tropicos:154304,cerón martínez 3664,acalypha,acalypha cuneata,17,2,1988,48
3907286,072f1069-aa2d-49b2-b2c2-b08d52b29412,3711,acalypha,acalypha cuneata,17,2,1988,48
152504,urn:catalog:mo:tropicos:152504,cerón martínez 1246,acalypha,acalypha cuneata,24,4,1987,114
3907290,4e3b4928-498d-47d8-8bdf-1b73ed904ad6,1246,acalypha,acalypha cuneata,24,4,1987,114
153041,urn:catalog:mo:tropicos:153041,cerón martínez 4517,acalypha,acalypha cuneata,24,8,1988,237
153377,urn:catalog:mo:tropicos:153377,cerón martínez 4695,acalypha,acalypha cuneata,24,8,1988,237
140102,urn:catalog:mo:tropicos:140102,palacios cuenca 2712,acalypha,acalypha cuneata,24,8,1988,237
3907292,aef183e6-497c-458a-a558-246d44344c82,2712,acalypha,acalypha cuneata,24,8,1988,237
145196,urn:catalog:mo:tropicos:145196,neill 6551,acalypha,acalypha cuneata,8,3,1985,67
145188,urn:catalog:mo:tropicos:145188,neill 6060,acalypha,acalypha cuneata,3,9,1985,246
141492,urn:catalog:mo:tropicos:141492,palacios cuenca 1407,acalypha,acalypha cuneata,10,2,1986,41
151106,urn:catalog:mo:tropicos:151106,miller 2464,acalypha,acalypha cuneata,7,8,1986,219
151134,urn:catalog:mo:tropicos:151134,miller 2467,acalypha,acalypha cuneata,7,8,1986,219
151044,urn:catalog:mo:tropicos:151044,miller 2453,acalypha,acalypha cuneata,7,8,1986,219
151092,urn:catalog:mo:tropicos:151092,miller 2462,acalypha,acalypha cuneata,7,8,1986,219
151236,urn:catalog:mo:tropicos:151236,miller 2504,acalypha,acalypha cuneata,7,9,1986,250
151284,urn:catalog:mo:tropicos:151284,miller 2513,acalypha,acalypha cuneata,7,9,1986,250
154200,urn:catalog:mo:tropicos:154200,cerón martínez 2122,acalypha,acalypha cuneata,9,4,1987,99
152290,urn:catalog:mo:tropicos:152290,cerón martínez 2646,acalypha,acalypha cuneata,11,8,1987,223
v0347094wis,556a6846-4950-4f35-93af-c8a385b8dcb7,1246,acalypha,acalypha cuneata,11,8,1987,223
152234,urn:catalog:mo:tropicos:152234,cerón martínez 2632,acalypha,acalypha cuneata,11,8,1987,223
3907378,15026bc3-2b73-4b57-8525-ac9fdc7893fd,1407,acalypha,acalypha cuneata,2,10,1986,275
brit499428,c5624766-887a-4b0a-9e1a-687572006210,2646,acalypha,acalypha cuneata,8,11,1987,312
chsc085082,69a24866-dc03-4e1a-a374-2b6799bc4232,2632,acalypha,acalypha cuneata,8,11,1987,312
v0347093wis,b7795ec7-fed5-4041-9b1f-23f25fcc6629,2632,acalypha,acalypha cuneata,8,11,1987,312
v-112726,ups:bot:v-112726,,acalypha,acalypha diversifolia,21,2,1980,52
3907578,e897b3f7-a272-4b2f-b951-876d5dad1171,21720,acalypha,acalypha diversifolia,21,2,1980,52
s10-41497,s:vascularplants:s10-41497,21720,acalypha,acalypha diversifolia,21,2,1980,52
l.2180707,https://data.biodiversitydata.nl/naturalis/specimen/l.2180707,"holm-nielsen, lb",acalypha,acalypha diversifolia,21,9,1980,265
152367,urn:catalog:mo:tropicos:152367,cerón martínez 803,acalypha,acalypha diversifolia,17,1,1987,17
882497,urn:catalog:mo:tropicos:882497,abbott 15561,acalypha,acalypha diversifolia,14,11,1994,318
151893,urn:catalog:mo:tropicos:151893,gentry 59992,acalypha,acalypha diversifolia,28,12,1987,362
144147,urn:catalog:mo:tropicos:144147,gentry 59996,acalypha,acalypha diversifolia,28,12,1987,362
146655,urn:catalog:mo:tropicos:146655,holm-nielsen 21720,acalypha,acalypha diversifolia,21,2,1980,52
142093,urn:catalog:mo:tropicos:142093,palacios cuenca 2702,acalypha,acalypha diversifolia,24,8,1988,237
153062,urn:catalog:mo:tropicos:153062,cerón martínez 4522,acalypha,acalypha diversifolia,24,8,1988,237
145127,urn:catalog:mo:tropicos:145127,neill 6449,acalypha,acalypha diversifolia,5,5,1985,125
154131,urn:catalog:mo:tropicos:154131,cerón martínez 2079,acalypha,acalypha diversifolia,9,4,1987,99
154081,urn:catalog:mo:tropicos:154081,cerón martínez 2052,acalypha,acalypha diversifolia,9,4,1987,99
154366,urn:catalog:mo:tropicos:154366,cerón martínez 2179,acalypha,acalypha diversifolia,9,4,1987,99
152137,urn:catalog:mo:tropicos:152137,cerón martínez 2582,acalypha,acalypha diversifolia,11,8,1987,223
2916586,urn:catalog:mo:tropicos:2916586,bennett 3992,acalypha,acalypha diversifolia,8,7,1989,189
1765209,urn:catalog:mo:tropicos:1765209,cerón martínez 19020,acalypha,acalypha diversifolia,6,5,1992,127
774930,urn:catalog:mo:tropicos:774930,rueda 1030,acalypha,acalypha diversifolia,8,9,1992,252
2990124,urn:catalog:mo:tropicos:2990124,carrillo 813,acalypha,acalypha diversifolia,4,6,2005,155
3907568,a3a9876d-4428-48f9-acf1-24462347a91d,2582,acalypha,acalypha diversifolia,8,11,1987,312
1157765,72837585-7ac0-4e5a-895b-51a9d482c59b,3992,acalypha,acalypha diversifolia,7,8,1989,219
3907537,ed53f317-1603-4934-afe9-eaf0d2c9e070,1030,acalypha,acalypha diversifolia,9,8,1992,222
asu0026746,419a2c7c-ff42-4ea6-b905-93b70dd25265,10629,acalypha,acalypha macrostachya,14,6,2003,165
asu0026745,3529a46e-3f81-4906-b598-9532d8d3bd0c,10629,acalypha,acalypha macrostachya,14,6,2003,165
brit443523,5d8e9469-e514-49f2-b0df-54af1dbef5b7,10629,acalypha,acalypha macrostachya,14,6,2003,165
asu0026743,1149b943-a22a-4c26-8910-aa36434e04bf,10697,acalypha,acalypha macrostachya,17,6,2003,168
asu0026744,f7e2be81-b4c1-4f4b-92c8-d3c36995953e,10697,acalypha,acalypha macrostachya,17,6,2003,168
147606,urn:catalog:mo:tropicos:147606,balslev 10462,acalypha,acalypha macrostachya,29,10,1976,303
100571128,urn:catalog:mo:tropicos:100571128,neill 17322,acalypha,acalypha macrostachya,13,11,2012,318
3924448,2b97de23-f8ad-4101-a13c-68d38e72ae65,3688,acalypha,acalypha macrostachya,17,2,1988,48
154359,urn:catalog:mo:tropicos:154359,cerón martínez 3688,acalypha,acalypha macrostachya,17,2,1988,48
153208,urn:catalog:mo:tropicos:153208,cerón martínez 4593,acalypha,acalypha macrostachya,24,8,1988,237
3336755,http://n2t.net/ark:/65665/30902c7bc-9774-4e6c-9369-ebd958df4018,2792,acalypha,acalypha salicifolia,28,8,1988,241
3924880,6b40bcfd-e248-4fa6-be0d-2635a0c51254,7484,acalypha,acalypha stachyura,21,6,1995,172
155018,urn:catalog:mo:tropicos:155018,cerón martínez 5461,acalypha,acalypha stachyura,22,10,1988,296
154186,urn:catalog:mo:tropicos:154186,cerón martínez 3620,acalypha,acalypha stachyura,17,2,1988,48
1503294,urn:catalog:mo:tropicos:1503294,dwyer 9652,acalypha,acalypha stachyura,28,3,1972,88
151464,urn:catalog:mo:tropicos:151464,miller 2153,acalypha,acalypha stachyura,21,6,1986,172
100240548,urn:catalog:mo:tropicos:100240548,acevedo-rodríguez 7484,acalypha,acalypha stachyura,21,6,1995,172
3355079,http://n2t.net/ark:/65665/33c994cee-5ef1-4173-ae6d-19464b5dad73,7484,acalypha,acalypha stachyura,21,6,1995,172
2629186,urn:catalog:mo:tropicos:2629186,holm-nielsen 20131a,acalypha,acalypha stachyura,29,8,1979,241
2629192,urn:catalog:mo:tropicos:2629192,holm-nielsen 20133,acalypha,acalypha stachyura,29,8,1979,241
1503282,urn:catalog:mo:tropicos:1503282,macbryde 1447,acalypha,acalypha stachyura,4,2,1972,35
1503284,urn:catalog:mo:tropicos:1503284,macbryde 1462,acalypha,acalypha stachyura,4,2,1972,35
154095,urn:catalog:mo:tropicos:154095,cerón martínez 2054,acalypha,acalypha stachyura,9,4,1987,99
152353,urn:catalog:mo:tropicos:152353,cerón martínez 2660,acalypha,acalypha stachyura,11,8,1987,223
153897,urn:catalog:mo:tropicos:153897,cerón martínez 8014,acalypha,acalypha stenoloba,21,12,1989,355
1352465,urn:catalog:mo:tropicos:1352465,lincango 26,acalypha,acalypha stenoloba,13,2,1999,44
2916266,urn:catalog:mo:tropicos:2916266,bennett 4358,acalypha,acalypha stenoloba,8,1,1990,8
1157758,72582058-b1fc-4374-a0ab-efe6c38bcfde,4358,acalypha,acalypha stenoloba,1,8,1990,213
tex00510894,b728829d-1198-4a1c-82cd-86fe3833f5c7,,acalypha,acalypha stenoloba,2,10,1992,276
u.1051910,https://data.biodiversitydata.nl/naturalis/specimen/u.1051910,"foster, rb  3849",,acanthaceae,25,9,1977,268
,0ac10e9a-e73b-4101-acc2-f5c4be2d109b,28476,,acanthaceae,30,7,1990,211
asu0059233,a8b66d9a-feb1-4e9a-bcf2-bf6c67bdefeb,10602,,acanthaceae,13,6,2003,164
asu0059399,ce08b98e-75cc-467a-90fb-a869d075b7ab,10602,,acanthaceae,13,6,2003,164
asu0059234,9407cc7e-6a25-43c2-9a68-fcfe8ab0b057,10648,,acanthaceae,15,6,2003,166
2647440,0b024331-8990-4e78-85c4-2e34b6e1900d,9382,,acanthaceae,17,8,2005,229
140305,urn:catalog:mo:tropicos:140305,palacios cuenca 4796,acidoton,acidoton nicaraguensis,1,8,1990,213
2330176,urn:catalog:mo:tropicos:2330176,freire fierro 2842,aciotis,aciotis acuminifolia,15,7,1997,196
318866,urn:catalog:mo:tropicos:318866,rueda 1040,aciotis,aciotis d. don,8,9,1992,252
317830,urn:catalog:mo:tropicos:317830,renner 69334,aciotis,aciotis olivieriana,6,2,1988,37
437123,urn:catalog:cas:bot-bc:437123,2844,aciotis,aciotis polystachya,15,7,1997,196
2330181,urn:catalog:mo:tropicos:2330181,freire fierro 2844,aciotis,aciotis polystachya,15,7,1997,196
3640961,http://n2t.net/ark:/65665/31592fb08-cf05-4767-846c-5da0b6284e90,2844,aciotis,aciotis polystachya,15,7,1997,196
437109,urn:catalog:cas:bot-bc:437109,937,aciotis,aciotis purpurascens,19,3,1987,78
,9fa5bfbd-0d9f-491d-98e7-e94b1df3b62f,28472,aciotis,aciotis purpurascens,30,7,1990,211
437107,urn:catalog:cas:bot-bc:437107,2838a,aciotis,aciotis purpurascens,30,6,1997,181
437104,urn:catalog:cas:bot-bc:437104,2845,aciotis,aciotis purpurascens,15,7,1997,196
319423,urn:catalog:mo:tropicos:319423,woodruff 593,aciotis,aciotis purpurascens,25,11,1993,329
70822,bra:unicamp:uec:70822,593,aciotis,aciotis purpurascens,25,11,1993,329
335193,urn:catalog:mo:tropicos:335193,cerón martínez 937,aciotis,aciotis purpurascens,19,3,1987,78
2353437,urn:catalog:mo:tropicos:2353437,macía 55,aciotis,aciotis purpurascens,25,3,1989,84
2353347,urn:catalog:mo:tropicos:2353347,macía 49,aciotis,aciotis purpurascens,25,3,1989,84
1352883,urn:catalog:mo:tropicos:1352883,freire fierro 2838a,aciotis,aciotis purpurascens,30,6,1997,181
3640960,http://n2t.net/ark:/65665/375d77f21-5688-47a5-a53a-b7bac4e02102,2838a,aciotis,aciotis purpurascens,30,6,1997,181
2330174,urn:catalog:mo:tropicos:2330174,freire fierro 2840,aciotis,aciotis purpurascens,14,7,1997,195
2330175,urn:catalog:mo:tropicos:2330175,freire fierro 2841,aciotis,aciotis purpurascens,14,7,1997,195
2330182,urn:catalog:mo:tropicos:2330182,freire fierro 2845,aciotis,aciotis purpurascens,15,7,1997,196
2355439,urn:catalog:mo:tropicos:2355439,king 387-b,aciotis,aciotis purpurascens,5,5,1982,125
2979140,http://n2t.net/ark:/65665/3913ce3bf-2972-4312-88e2-27706d5829dc,387,aciotis,aciotis purpurascens,5,5,1982,125
2353694,urn:catalog:mo:tropicos:2353694,macía 10,aciotis,aciotis purpurascens,9,3,1988,69
325365,urn:catalog:mo:tropicos:325365,palacios cuenca 3011,aciotis,aciotis purpurascens,9,7,1988,191
3128204,http://n2t.net/ark:/65665/3464fd8d3-10d9-48b0-b7f4-546eb332c4d8,4723,acmella,acmella ciliata,24,8,1988,237
579636,urn:catalog:mo:tropicos:579636,cerón martínez 4723,acmella,acmella ciliata (kunth) cass.,24,8,1988,237
2845415,http://n2t.net/ark:/65665/335db289a-f60d-4ec8-8ee7-c339635b0995,2207,acnistus,acnistus arborescens,22,7,1977,203
2916821,urn:catalog:mo:tropicos:2916821,boeke 2207,acnistus,acnistus arborescens,22,7,1977,203
882614,urn:catalog:mo:tropicos:882614,abbott 15684,acroceras,acroceras zizanioides,21,11,1994,325
2424183,be23b1ac-e4fa-4503-a875-751aaf1ea06a,7358,adelobotrys,adelobotrys,16,6,1995,167
2613843,dd794a01-4d7f-49dd-ae5a-193fc02c216f,2850,adelobotrys,adelobotrys,9,2,1988,40
335049,urn:catalog:mo:tropicos:335049,cerón martínez 861,adelobotrys,adelobotrys adscendens,17,1,1987,17
324885,urn:catalog:mo:tropicos:324885,palacios cuenca 2850,adelobotrys,adelobotrys adscendens,9,2,1988,40
325532,urn:catalog:mo:tropicos:325532,palacios cuenca 3100,adelobotrys,adelobotrys adscendens,10,6,1988,162
v0564024f,032c30d4-74ee-43a0-b32d-bb8481a66c6e,702,adelobotrys,adelobotrys permixta,17,8,2003,229
100754913,urn:catalog:mo:tropicos:100754913,abbott 13364,adelobotrys,adelobotrys scandens,25,3,2000,85
3215191,urn:catalog:mo:tropicos:3215191,acevedo-rodríguez 7358,adelobotrys,adelobotrys scandens,16,6,1995,167
,http://n2t.net/ark:/65665/3aac68661-fde6-4f34-81f1-8e527bb47ea1,7358,adelobotrys,adelobotrys sp.,16,6,1995,167
usw42576,http://n2t.net/ark:/65665/3a0a934e9-462c-4bda-b2c2-77b6f1f5b062,7358,adelobotrys,adelobotrys sp.,16,6,1995,167
320722,urn:catalog:mo:tropicos:320722,neill 8550,adelobotrys,adelobotrys tessmannii,9,2,1988,40
3212066,urn:catalog:mo:tropicos:3212066,bensman 206,adelobotrys,adelobotrys tessmannii,8,8,1990,220
3011934,urn:catalog:mo:tropicos:3011934,reyes 776,adelonema,adelonema crinipes ,15,2,2005,46
382763,urn:catalog:mo:tropicos:382763,palacios cuenca 458,adelonema,adelonema crinipes ,18,5,1985,138
101092800,urn:catalog:mo:tropicos:101092800,croat 106454,adelonema,adelonema crinipes ,29,8,2015,241
377056,urn:catalog:mo:tropicos:377056,cerón martínez 2125,adelonema,adelonema crinipes ,9,4,1987,99
380283,urn:catalog:mo:tropicos:380283,palacios cuenca 3109,adelonema,adelonema crinipes ,10,6,1988,162
1058816,urn:catalog:mo:tropicos:1058816,croat 73392,adelonema,adelonema crinipes ,4,2,1992,35
988777,urn:catalog:mo:tropicos:988777,schwerdtfeger 31040,adelonema,adelonema crinipes ,3,10,1995,276
3192939,urn:catalog:mo:tropicos:3192939,trogisch 268,adelonema,adelonema crinipes ,11,9,2006,254
376779,urn:catalog:mo:tropicos:376779,cerón martínez 8053,adelonema,adelonema picturatum,21,12,1989,355
3011829,urn:catalog:mo:tropicos:3011829,reyes 701,adelonema,adelonema picturatum,15,2,2005,46
365864,urn:catalog:mo:tropicos:365864,palacios cuenca 450,adelonema,adelonema picturatum,18,5,1985,138
990683,urn:catalog:mo:tropicos:990683,croat 50346,adelonema,adelonema picturatum,10,3,1980,70
380842,urn:catalog:mo:tropicos:380842,palacios cuenca 3281,adelonema,adelonema picturatum,12,6,1988,164
359830,urn:catalog:mo:tropicos:359830,croat 73358,adelonema,adelonema picturatum,4,1,1992,4
1064842,urn:catalog:mo:tropicos:1064842,clark 989,adelonema,adelonema picturatum,6,5,1995,126
3192943,urn:catalog:mo:tropicos:3192943,trogisch 267,adelonema,adelonema picturatum,11,9,2006,254
,09fccc7b-98c2-4f8b-9693-819c452a848f,28493,adenaria,adenaria floribunda,30,7,1990,211
298395,urn:catalog:mo:tropicos:298395,cerón martínez 5441,adenaria,adenaria floribunda,22,10,1988,296
882464,urn:catalog:mo:tropicos:882464,abbott 15527,adenaria,adenaria floribunda,14,11,1994,318
2761638,urn:catalog:mo:tropicos:2761638,landrum 10691,adenaria,adenaria floribunda,16,6,2003,167
298468,urn:catalog:mo:tropicos:298468,cerón martínez 2625,adenaria,adenaria floribunda,11,8,1987,223
1064990,urn:catalog:mo:tropicos:1064990,clark 1015,adenocalymma,adenocalymma cladotrichum,6,5,1995,126
3012035,urn:catalog:mo:tropicos:3012035,reyes 845,adenocalymma,adenocalymma multiglandulosum,22,2,2005,53
1132866,7709d0a1-4d39-40ac-88c6-08114cfd8a52,3843,adenostemma,adenostemma fosbergii,28,6,1989,179
2896236,urn:catalog:mo:tropicos:2896236,carrillo 652,adenostemma,adenostemma fosbergii,22,2,2005,53
3011978,urn:catalog:mo:tropicos:3011978,reyes 811,adenostemma,adenostemma fosbergii,22,2,2005,53
100914301,urn:catalog:mo:tropicos:100914301,vargas 197,adenostemma,adenostemma j.r. forst. & g. forst.,13,4,1993,103
190389,808e5aab-7fc0-4092-a7ae-54af7a658b99,15551,adenostemma,adenostemma platyphyllum,14,11,1994,318
190045,bc0cc418-c2b5-473b-a8ac-8ec74c0de9d7,15585,adiantum,adiantum,20,11,1994,324
uvmvt285666,9d3b4d3a-3ef9-446e-a0b5-08e0cbcd0790,3412,adiantum,adiantum,15,3,2015,74
25310,urn:catalog:mo:tropicos:25310,cerón martínez 762,adiantum,adiantum,17,1,1987,17
3920954,2bacfc6b-b89f-45cd-b26f-b93482a18ba7,762,adiantum,adiantum,17,1,1987,17
41683,urn:catalog:mo:tropicos:41683,fay 2669a,adiantum,adiantum,12,9,1990,255
40526,urn:catalog:mo:tropicos:40526,fay 2668a,adiantum,adiantum,12,9,1990,255
2444,urn:catalog:mo:tropicos:2444,fay 2791a,adiantum,adiantum cajennense,18,12,1990,352
25141,urn:catalog:mo:tropicos:25141,cerón martínez 1090,adiantum,adiantum cajennense,19,3,1987,78
13980,urn:catalog:mo:tropicos:13980,fay 2676a,adiantum,adiantum cajennense,12,9,1990,255
3011962,urn:catalog:mo:tropicos:3011962,reyes 796,adiantum,adiantum humile,22,2,2005,53
2895041,urn:catalog:mo:tropicos:2895041,carrillo 609,adiantum,adiantum humile,22,2,2005,53
3921124,8a901153-9070-4172-88b8-b8a175865e71,10791,adiantum,adiantum macrocladum,22,6,2003,173
asu0001992,6ef858e2-54bc-4cde-bbaa-23ce6979b287,10791,adiantum,adiantum macrocladum,22,6,2003,173
asu0001991,2f0f0617-0787-41b1-afc4-ae8a8f8b5383,10791,adiantum,adiantum macrocladum,22,6,2003,173
1958,urn:catalog:mo:tropicos:1958,fay 2737a,adiantum,adiantum macrocladum,13,12,1990,347
26062,urn:catalog:mo:tropicos:26062,cerón martínez 1251,adiantum,adiantum macrocladum,24,4,1987,114
40546,urn:catalog:mo:tropicos:40546,fay 2775a,adiantum,adiantum obliquum,16,12,1990,350
38612,urn:catalog:mo:tropicos:38612,fay 2677a,adiantum,adiantum obliquum,12,9,1990,255
42013,urn:catalog:mo:tropicos:42013,fay 2680a,adiantum,adiantum obliquum,12,10,1990,285
cm292643,b72d47d1-b01f-4eee-9f6b-40e87735d870,8546,adiantum,adiantum petiolatum,1,7,1982,182
882519,urn:catalog:mo:tropicos:882519,abbott 15585,adiantum,adiantum philippense,20,11,1994,324
2664804,urn:catalog:mo:tropicos:2664804,holm-nielsen 21699,adiantum,adiantum philippense,21,2,1980,52
3921804,818f3ed8-39fa-4f01-85f3-ac9b2051e202,10642,adiantum,adiantum pulverulentum,14,6,2003,165
asu0001996,bf71a5da-51fa-4458-b064-02fc85e35129,10642,adiantum,adiantum pulverulentum,14,6,2003,165
asu0001995,c639ed80-afb7-47a8-8d5b-0c6fbe1c4a99,10642,adiantum,adiantum pulverulentum,14,6,2003,165
asu0001997,f974488b-1ff7-4601-8407-33518716a6bc,10748,adiantum,adiantum pulverulentum,20,6,2003,171
3921805,cae07468-777f-4c57-84c5-7a7f55fc035f,10748,adiantum,adiantum pulverulentum,20,6,2003,171
asu0001998,4ef4f56a-0769-4a37-86d5-6ba55c2b403d,10748,adiantum,adiantum pulverulentum,20,6,2003,171
3391077,urn:catalog:mo:tropicos:3391077,bensman 294,adiantum,adiantum pulverulentum,27,4,1990,117
28397,urn:catalog:mo:tropicos:28397,cerón martínez 2085,adiantum,adiantum pulverulentum,9,4,1987,99
1376,urn:catalog:mo:tropicos:1376,fay 2715a,adiantum,adiantum pulverulentum,12,11,1990,316
28558,urn:catalog:mo:tropicos:28558,cerón martínez 2181,adiantum,adiantum scalare,9,4,1987,99
25262,urn:catalog:mo:tropicos:25262,cerón martínez 2615,adiantum,adiantum scalare,11,8,1987,223
43449,urn:catalog:mo:tropicos:43449,tipaz 126,adiantum,adiantum terminatum,23,3,1991,82
28064,urn:catalog:mo:tropicos:28064,palacios cuenca 424,adiantum,adiantum terminatum,18,5,1985,138
29964,urn:catalog:mo:tropicos:29964,miller 2282,adiantum,adiantum tetraphyllum,28,6,1986,179
